problem_name,status,total_execution_time,terminal_objective_value,total_function_evaluation,total_gradient_evaluation,total_hessian_evaluation,total_factorization_evaluation
10FOLDTRLS,TRUST_REGION_SUBPROBLEM_ERROR,9.028703927993774,-7.1953752525326824e16,84,84,84,601
ARGLINA,OPTIMAL,0.3385140895843506,200.00000000000307,4,4,3,17
ARGLINB,STEP_SIZE_LIMIT,0.6213188171386719,99.62546816045851,27,27,6,126
ARGLINC,STEP_SIZE_LIMIT,0.42715883255004883,101.12547050907253,24,24,4,107
ARGTRIGLS,OPTIMAL,0.23649191856384277,3.2231834130701116e-18,5,5,4,9
ARWHEAD,OPTIMAL,0.17555999755859375,0.0,7,7,6,6
BA-L21LS,TRUST_REGION_SUBPROBLEM_ERROR,1264.1538879871368,568400.9827612612,1503,788,785,17203
BA-L49LS,TRUST_REGION_SUBPROBLEM_ERROR,1903.839676141739,294186.89674167644,3323,2716,2710,23261
BA-L73LS,TIME_LIMIT,18000.0,NaN,200000,200000,200000,200000
BDQRTIC,OPTIMAL,0.2168409824371338,20006.25687843481,12,12,11,23
BOX,OPTIMAL,0.2281348705291748,-1864.5379265656225,9,8,7,24
BOXPOWER,OPTIMAL,0.35566091537475586,2.123264008378223e-7,17,17,16,54
BROWNAL,OPTIMAL,0.26900506019592285,3.57014108796407e-17,6,6,5,22
BROYDN3DLS,OPTIMAL,0.18107295036315918,6.7177009330040436e-18,7,7,6,24
BROYDN7D,OPTIMAL,2.1062111854553223,1523.9599943792132,196,92,91,1723
BROYDNBDLS,OPTIMAL,0.35339999198913574,1.4211031036713322e-15,19,12,11,117
BRYBND,OPTIMAL,0.35543084144592285,1.4211031036713322e-15,19,12,11,117
CHAINWOO,OPTIMAL,3.926068067550659,1.0,984,447,444,7889
COATING,OPTIMAL,1.9389228820800781,3.1142361400312093,4767,4398,4387,30313
COSINE,OPTIMAL,26.956160068511963,-6595.647595140953,3764,3197,3092,21014
CRAGGLVY,OPTIMAL,0.22058391571044922,1688.2153097145654,18,18,17,34
CURLY10,OPTIMAL,1.0134708881378174,-1.0031629024131879e6,28,17,15,219
CURLY20,OPTIMAL,1.4439449310302734,-1.0031629024131879e6,19,12,11,140
CURLY30,OPTIMAL,2.7769899368286133,-1.0031629024131879e6,20,14,13,132
CYCLIC3LS,OPTIMAL,73.02512121200562,2.74955545819169e-21,729,574,536,3820
CYCLOOCFLS,OPTIMAL,31.23395800590515,9.0016124030635e-13,326,148,146,3496
DIXMAANB,OPTIMAL,0.21863889694213867,1.0,15,11,10,106
DIXMAANC,OPTIMAL,0.25321388244628906,1.0,23,14,13,185
DIXMAAND,OPTIMAL,0.29691290855407715,1.000000000000001,31,17,16,285
DIXMAANE1,OPTIMAL,0.1990339756011963,1.0,16,11,10,128
DIXMAANF,OPTIMAL,0.36993408203125,1.0000000000251619,43,22,21,397
DIXMAANG,OPTIMAL,0.430980920791626,1.0,61,30,29,558
DIXMAANH,OPTIMAL,0.4672510623931885,1.0,63,31,30,644
DIXMAANI1,OPTIMAL,0.19620299339294434,1.0,17,11,10,118
DIXMAANJ,OPTIMAL,0.4734690189361572,1.0000000000004152,65,31,30,651
DIXMAANK,OPTIMAL,0.5325191020965576,1.000000000006156,77,36,35,787
DIXMAANL,OPTIMAL,0.49803900718688965,1.0000000000001303,69,35,32,700
DIXMAANM1,OPTIMAL,0.1815040111541748,1.0,11,9,8,59
DIXMAANN,OPTIMAL,0.45480895042419434,1.0000004011378445,61,28,27,623
DIXMAANO,OPTIMAL,0.490185022354126,1.000001150069252,68,31,30,699
DIXMAANP,OPTIMAL,0.5181198120117188,1.0000002140250244,74,34,33,751
DIXON3DQ,OPTIMAL,0.18711304664611816,3.0741265198970394e-23,5,5,4,23
DQDRTIC,OPTIMAL,0.16762495040893555,1.9812261356148342e-25,4,4,3,22
DQRTIC,OPTIMAL,0.22790908813476562,2.3384860227507769e-7,40,40,39,164
EDENSCH,OPTIMAL,0.17390894889831543,12003.284592020771,14,14,13,33
EG2,OPTIMAL,0.16448187828063965,-998.947393300945,4,4,3,4
EIGENALS,OPTIMAL,1285.00146317482,3.697434749707214e-11,594,266,264,7558
EIGENBLS,OPTIMAL,1327.3202970027924,7.200715605416565e-8,1101,680,644,5929
EIGENCLS,OPTIMAL,1580.555370092392,1.641902809008599e-16,948,493,480,8221
ENGVAL1,OPTIMAL,0.1831049919128418,5548.668419416184,10,10,9,23
EXTROSNB,OPTIMAL,0.6138269901275635,3.7965392398643263e-7,801,561,515,3344
FLETBV3M,OPTIMAL,0.8104801177978516,-231955.67085734883,118,113,103,1092
FLETCBV2,OPTIMAL,0.020034074783325195,-0.5002681698025423,1,1,1,0
FLETCBV3,ITERATION_LIMIT,488.550302028656,-3.310403026704439e9,100001,100001,100000,922824
FLETCHBV,ITERATION_LIMIT,489.00869488716125,-3.3154085621195923e17,100001,100001,100000,923781
FLETCHCR,OPTIMAL,2.6236629486083984,5.373458533072404e-18,3495,1945,1944,15894
FMINSRF2,OPTIMAL,3.1020829677581787,1.0000201836638063,133,78,62,749
FMINSURF,OPTIMAL,1019.99680519104,1.0000000000003921,118,67,57,650
FREUROTH,OPTIMAL,0.20869994163513184,608159.1890463704,14,11,10,53
GENHUMPS,OPTIMAL,188.36767101287842,1.5368830130889542e-11,31660,30505,29190,375571
GENROSE,OPTIMAL,0.5262820720672607,1.0000000000000024,937,430,425,5958
INDEF,TRUST_REGION_SUBPROBLEM_ERROR,0.5510468482971191,-7.423510419237702e14,15,15,15,116
INDEFM,OPTIMAL,1.7542080879211426,-1.0049997792224888e7,13,13,12,83
INTEQNELS,OPTIMAL,3.148604154586792,2.56942449690541e-12,4,4,3,5
JIMACK,OPTIMAL,6.7223851680755615,0.8667933744483622,30,20,18,266
KSSLS,OPTIMAL,98.54368185997009,1.3171268159721164e-20,13,13,12,45
LIARWHD,OPTIMAL,0.18877410888671875,8.354583785226969e-23,14,14,13,27
LRA9A,OPTIMAL,0.4308340549468994,0.3834896899358168,19,16,10,86
LRW1A,OPTIMAL,0.3434629440307617,0.2846106338030997,57,35,33,394
LRW8A,OPTIMAL,2.3832459449768066,2.4222663332465766,51,30,24,393
LUKSAN11LS,OPTIMAL,0.1990218162536621,2.1069870335939857e-17,547,387,376,1699
LUKSAN15LS,OPTIMAL,0.16629791259765625,3.5696970494344247,13,9,7,92
LUKSAN16LS,OPTIMAL,0.16514110565185547,3.5696970494344327,7,7,6,23
LUKSAN17LS,OPTIMAL,0.1672351360321045,0.49316129032259354,18,18,17,38
LUKSAN21LS,OPTIMAL,0.1672680377960205,3.1699080617349546e-14,32,18,17,184
LUKSAN22LC,OPTIMAL,0.158829927444458,873.9404775269419,22,18,17,41
LUKSAN22LS,OPTIMAL,0.15823912620544434,868.9404775269438,22,18,17,41
MANCINO,OPTIMAL,0.13498306274414062,6.598638137971139e-18,17,13,12,143
MODBEALE,OPTIMAL,0.32674288749694824,5.667178294164799e-14,10,10,9,31
MOREBV,OPTIMAL,0.019969940185546875,1.0395423971692418e-11,1,1,1,0
MSQRTALS,OPTIMAL,10.02479600906372,8.266920034060584e-12,65,36,30,557
MSQRTBLS,OPTIMAL,7.71317982673645,2.094710539377871e-15,52,29,25,406
NCB20,OPTIMAL,6.844045162200928,-1464.9259847221063,186,89,87,1541
NCB20B,OPTIMAL,1.075078010559082,7351.300584946279,29,18,16,189
NONCVXU2,OPTIMAL,5761.312090873718,11584.233368355914,4313,1980,1947,38994
NONCVXUN,OPTIMAL,111.47668814659119,11597.833376398208,4189,1943,1896,38107
NONDIA,OPTIMAL,0.1863081455230713,4.3936299597143927e-17,8,8,7,35
NONDQUAR,OPTIMAL,0.3680689334869385,5.8243403601315384e-6,46,33,28,278
NONMSQRT,TRUST_REGION_SUBPROBLEM_ERROR,307.70611810684204,708.6261989713867,1710,1631,1616,8730
OSCIGRAD,OPTIMAL,1.5246968269348145,7.432384617973632e-24,14,12,11,47
OSCIPATH,OPTIMAL,0.1637439727783203,0.9999666655201663,3,3,2,4
PATTERNLS,OPTIMAL,267.9199390411377,1.8146769872230602e-13,52,33,32,428
PENALTY1,OPTIMAL,3.8077151775360107,0.009686175456695933,59,47,45,120
PENALTY2,OPTIMAL,0.03342890739440918,4.711627727552183e13,12,12,11,19
PENALTY3,OPTIMAL,0.36310791969299316,0.001,19,16,15,59
POWELLSG,OPTIMAL,0.18978190422058105,8.052951866377931e-8,20,20,19,31
POWER,OPTIMAL,574.7885580062866,5.216043953367869e-11,39,39,38,56
QING,OPTIMAL,0.16434717178344727,2.0757698690436376e-13,21,14,12,137
QUARTC,OPTIMAL,0.22914409637451172,2.3384860227507769e-7,40,40,39,164
SBRYBND,OPTIMAL,0.553865909576416,1.4095523027696676e-12,33,20,19,295
SCHMVETT,OPTIMAL,0.19256901741027832,-14994.0,6,6,5,18
SCOSINE,STEP_SIZE_LIMIT,2.100625991821289,-4107.960501050229,315,313,292,3402
SCURLY10,OPTIMAL,4.943732023239136,-1.0031629024131879e6,139,90,89,1088
SCURLY20,OPTIMAL,11.008561134338379,-1.0031629024131879e6,133,93,90,997
SCURLY30,OPTIMAL,16.686586141586304,-1.0031629024131879e6,119,84,83,881
SENSORS,OPTIMAL,0.12265300750732422,-1987.875,35,23,21,318
SINQUAD,OPTIMAL,0.22843217849731445,-6.757013757336051e6,17,13,11,107
SINQUAD2,OPTIMAL,0.9150969982147217,8.987899224980959e-7,159,116,112,959
SPARSINE,OPTIMAL,545.2816030979156,2.8337507241703314e-11,189,128,112,1682
SPARSQUR,OPTIMAL,74.38500308990479,6.749512433423639e-9,24,24,23,42
SPIN2LS,OPTIMAL,0.1901869773864746,1.0502516392640047e-14,38,21,19,320
SPINLS,OPTIMAL,5.969910144805908,1.0361733929817826e-9,47,42,38,231
SPMSRTLS,OPTIMAL,0.4131448268890381,5.0828044337912855e-12,34,18,17,284
SROSENBR,OPTIMAL,0.19756698608398438,6.40934058669958e-21,25,18,17,67
SSBRYBND,OPTIMAL,0.42145299911499023,2.929113778765299e-12,26,17,16,172
SSCOSINE,OPTIMAL,1.6039149761199951,-4972.609699357551,202,198,184,2213
TOINTGSS,OPTIMAL,0.2005159854888916,10.002000800180875,8,8,7,30
TQUARTIC,OPTIMAL,0.19667696952819824,2.8568439612213407e-19,12,10,9,52
TRIDIA,OPTIMAL,0.18144512176513672,2.7372046435747275e-24,4,4,3,19
VARDIM,OPTIMAL,0.06343603134155273,2.533294280811154e-24,30,30,29,51
VAREIGVL,OPTIMAL,50.375696897506714,2.142994554327182e-9,17,17,16,31
WOODS,OPTIMAL,0.2934458255767822,4.47588682257238e-21,74,47,46,290
YATP1CLS,TIME_LIMIT,18000.0,NaN,200000,200000,200000,200000
YATP1LS,TIME_LIMIT,18000.0,NaN,200000,200000,200000,200000
YATP2CLS,TIME_LIMIT,18000.0,NaN,200000,200000,200000,200000
