problem_name,status,total_execution_time,terminal_objective_value,total_function_evaluation,total_gradient_evaluation,total_hessian_evaluation,total_factorization_evaluation
10FOLDTRLS,TRUST_REGION_SUBPROBLEM_ERROR,8.619584083557129,-2.1062843345789836e16,82,82,82,573
ARGLINA,OPTIMAL,0.15300703048706055,199.99999999999977,2,2,1,1
ARGLINB,STEP_SIZE_LIMIT,0.6270408630371094,99.62546815915417,28,28,6,107
ARGLINC,STEP_SIZE_LIMIT,0.4227180480957031,101.12547050956422,24,24,4,84
ARGTRIGLS,OPTIMAL,0.23641681671142578,3.2231834130701116e-18,5,5,4,9
ARWHEAD,OPTIMAL,0.17802906036376953,0.0,7,7,6,6
BA-L21LS,TIME_LIMIT,18000.0,NaN,200000,200000,200000,200000
BA-L49LS,TIME_LIMIT,18000.0,NaN,200000,200000,200000,200000
BA-L73LS,TIME_LIMIT,18000.0,NaN,200000,200000,200000,200000
BDQRTIC,OPTIMAL,0.20991897583007812,20006.256878434815,11,11,10,21
BOX,OPTIMAL,0.25840091705322266,-1864.5379265657348,12,10,9,38
BOXPOWER,OPTIMAL,0.3322908878326416,1.8136459120165984e-7,19,19,18,28
BROWNAL,OPTIMAL,0.22401714324951172,7.01522898755848e-14,5,5,4,5
BROYDN3DLS,OPTIMAL,0.17485499382019043,3.096154472780806e-17,6,6,5,5
BROYDN7D,OPTIMAL,2.2061009407043457,1496.54577395969,192,89,87,1723
BROYDNBDLS,OPTIMAL,0.36163997650146484,2.2414526144947234e-23,19,13,11,120
BRYBND,OPTIMAL,0.3604919910430908,2.2414526144947234e-23,19,13,11,120
CHAINWOO,OPTIMAL,5.60885214805603,1.0,1396,636,632,11326
COATING,OPTIMAL,0.17828917503356934,0.5054986186685092,39,25,23,268
COSINE,OPTIMAL,29.019011974334717,-3889.0683604018072,4158,3551,3453,22976
CRAGGLVY,OPTIMAL,0.2052922248840332,1688.2153097145663,14,14,13,14
CURLY10,OPTIMAL,0.8956789970397949,-1.0031629024131879e6,25,15,14,189
CURLY20,OPTIMAL,1.674217939376831,-1.0031629024131879e6,25,15,14,167
CURLY30,OPTIMAL,2.5059969425201416,-1.0031629024131879e6,18,12,11,117
CYCLIC3LS,OPTIMAL,84.253014087677,7.632413418364716e-15,822,656,606,4379
CYCLOOCFLS,OPTIMAL,15.986275911331177,6.621906797977001e-15,163,74,73,1723
DIXMAANB,OPTIMAL,0.21922707557678223,1.0,14,9,8,106
DIXMAANC,OPTIMAL,0.2884209156036377,1.0000000000001366,29,15,14,258
DIXMAAND,OPTIMAL,0.3211820125579834,1.0000000000080127,36,18,17,325
DIXMAANE1,OPTIMAL,0.21038079261779785,1.0,23,15,14,150
DIXMAANF,OPTIMAL,0.4179871082305908,1.000000000009443,53,26,24,518
DIXMAANG,OPTIMAL,0.4122641086578369,1.0000000000009361,50,25,24,500
DIXMAANH,OPTIMAL,0.4058210849761963,1.0000000009024876,46,22,21,486
