problem_name,status,total_execution_time,terminal_objective_value,total_function_evaluation,total_gradient_evaluation,total_hessian_evaluation,total_factorization_evaluation
10FOLDTRLS,TRUST_REGION_SUBPROBLEM_ERROR,9.705498933792114,-2.8280236146079844e16,86,86,86,629
ARGLINA,OPTIMAL,0.15482711791992188,199.99999999999977,2,2,1,1
ARGLINB,STEP_SIZE_LIMIT,0.6178171634674072,99.62546815915417,11,11,6,49
ARGLINC,STEP_SIZE_LIMIT,0.4135119915008545,101.12547050956422,9,9,4,35
ARGTRIGLS,OPTIMAL,0.23636507987976074,3.2231834130701116e-18,5,5,4,9
ARWHEAD,OPTIMAL,0.1785871982574463,0.0,7,7,6,6
BA-L21LS,TRUST_REGION_SUBPROBLEM_ERROR,569.5258500576019,548578.913338547,706,543,536,5805
BA-L49LS,TIME_LIMIT,18000.0,NaN,200000,200000,200000,200000
BA-L73LS,TIME_LIMIT,18000.0,NaN,200000,200000,200000,200000
BDQRTIC,OPTIMAL,0.21106910705566406,20006.256878434815,11,11,10,21
BOX,OPTIMAL,0.2714550495147705,-1864.537926563917,10,10,9,48
BOXPOWER,OPTIMAL,0.3351168632507324,1.8136459120165984e-7,19,19,18,28
BROWNAL,OPTIMAL,0.22520899772644043,7.01522898755848e-14,5,5,4,5
BROYDN3DLS,OPTIMAL,0.17495203018188477,3.096154472780806e-17,6,6,5,5
BROYDN7D,OPTIMAL,2.217970132827759,1518.683107596145,217,119,117,1774
BROYDNBDLS,OPTIMAL,0.38430094718933105,4.325720224680119e-19,19,14,13,132
BRYBND,OPTIMAL,0.3839089870452881,4.325720224680119e-19,19,14,13,132
CHAINWOO,OPTIMAL,16.584490060806274,1769.4292609234828,5052,2727,2721,37979
COATING,OPTIMAL,0.18109703063964844,0.5054986186685125,40,30,26,272
COSINE,OPTIMAL,37.07673692703247,-3947.2728145431065,4506,4383,4330,30323
CRAGGLVY,OPTIMAL,0.2050161361694336,1688.2153097145663,14,14,13,14
CURLY10,OPTIMAL,0.7335729598999023,-1.0031629024131879e6,21,15,14,132
CURLY20,OPTIMAL,2.3042590618133545,-1.0031629024131879e6,26,18,17,183
CURLY30,OPTIMAL,2.186042070388794,-1.0031629024131879e6,16,14,13,75
CYCLIC3LS,OPTIMAL,93.27111792564392,5.9542776820884704e-21,752,687,644,4859
CYCLOOCFLS,OPTIMAL,13.507941961288452,1.9735490986417927e-14,132,73,72,1391
DIXMAANB,OPTIMAL,0.23912596702575684,1.0000000000000016,20,13,12,140
DIXMAANC,OPTIMAL,0.24826288223266602,1.0,22,14,13,156
DIXMAAND,OPTIMAL,0.22015881538391113,1.0,16,11,10,99
DIXMAANE1,OPTIMAL,0.21854901313781738,1.0,23,14,13,181
DIXMAANF,OPTIMAL,0.36603689193725586,1.0000000000256866,40,22,21,370
DIXMAANG,OPTIMAL,0.40643787384033203,1.0,52,31,29,457
DIXMAANH,OPTIMAL,0.36942410469055176,1.0000000000182834,41,23,22,378
DIXMAANI1,OPTIMAL,0.24429583549499512,1.0,32,19,18,282
DIXMAANJ,OPTIMAL,0.5358591079711914,1.0000000000000016,84,47,45,740
DIXMAANK,OPTIMAL,0.46671485900878906,1.0000000000022375,66,36,35,606
DIXMAANL,OPTIMAL,0.5163090229034424,1.0000000034758996,79,46,43,693
DIXMAANM1,OPTIMAL,0.21000194549560547,1.0000000000118052,19,12,11,150
DIXMAANN,OPTIMAL,0.37778496742248535,1.0000001732953834,44,23,22,393
DIXMAANO,OPTIMAL,0.39673900604248047,1.0000008320731133,49,25,24,443
DIXMAANP,OPTIMAL,0.4088149070739746,1.0000001360667996,53,29,28,474
DIXON3DQ,OPTIMAL,0.18602609634399414,3.0708433917430744e-23,4,4,3,15
DQDRTIC,OPTIMAL,0.1617128849029541,1.9806285734791293e-25,2,2,1,1
DQRTIC,OPTIMAL,0.22390103340148926,1.5463203490974303e-7,36,36,35,128
EDENSCH,OPTIMAL,0.172562837600708,12003.284592020764,13,13,12,12
EG2,OPTIMAL,0.16720080375671387,-998.947393300945,4,4,3,4
EIGENALS,OPTIMAL,1098.7026500701904,3.2574604766757357e-10,500,260,258,6100
EIGENBLS,OPTIMAL,2467.5116169452667,4.2664403116280236e-8,1767,1237,1064,11351
EIGENCLS,OPTIMAL,1883.4930889606476,2.3508751556139773e-20,1175,731,686,8998
ENGVAL1,OPTIMAL,0.1779170036315918,5548.668419416185,8,8,7,7
EXTROSNB,OPTIMAL,1.5288918018341064,2.156288850377843e-7,1371,1143,883,7950
FLETBV3M,OPTIMAL,0.7886660099029541,-228311.34150707867,118,115,109,993
FLETCBV2,OPTIMAL,0.020341873168945312,-0.5002681698025423,1,1,1,0
FLETCBV3,ITERATION_LIMIT,454.6289699077606,-2.2941907734173684e9,100001,100001,100000,814725
FLETCHBV,ITERATION_LIMIT,452.43054389953613,-2.2960254890010426e17,100001,100001,100000,815622
FLETCHCR,OPTIMAL,2.0244619846343994,9.366751513821598e-16,2329,1829,1827,10000
FMINSRF2,OPTIMAL,3.898967981338501,1.0000240222255923,137,92,86,936
FMINSURF,OPTIMAL,1410.7459559440613,1.0000000000004068,130,90,80,887
FREUROTH,OPTIMAL,0.18816184997558594,608159.1890463781,8,8,7,13
GENHUMPS,OPTIMAL,182.2511670589447,1.5109782044916376e-11,31650,30572,29932,353246
GENROSE,OPTIMAL,0.5323789119720459,1.0,831,472,464,5774
INDEF,TRUST_REGION_SUBPROBLEM_ERROR,0.5821471214294434,-4.6206812559154125e14,18,18,18,155
INDEFM,OPTIMAL,1.721714973449707,-1.0049998975327484e7,11,11,10,85
INTEQNELS,OPTIMAL,3.204927921295166,1.4865393340007616e-20,4,4,3,3
JIMACK,OPTIMAL,5.339311838150024,0.8667933291220554,25,17,16,212
KSSLS,OPTIMAL,74.53501296043396,1.6339741998274833e-20,9,9,8,8
LIARWHD,OPTIMAL,0.18524599075317383,6.3807754778159845e-22,13,13,12,12
LRA9A,OPTIMAL,0.4710860252380371,0.383489689331884,20,14,11,117
LRW1A,OPTIMAL,7.565269947052002,0.38697732826952413,1184,749,717,8982
LRW8A,OPTIMAL,1.4297940731048584,2.4224427674957654,28,19,14,217
LUKSAN11LS,OPTIMAL,0.20240402221679688,4.449975831838529e-13,473,398,396,1728
LUKSAN15LS,OPTIMAL,0.16989898681640625,3.56969704943443,17,11,10,121
LUKSAN16LS,OPTIMAL,0.17023992538452148,3.569697049434424,15,12,10,73
LUKSAN17LS,OPTIMAL,0.17102479934692383,0.49316129032258116,21,20,19,64
LUKSAN21LS,OPTIMAL,0.16927695274353027,8.103613224481873e-15,25,18,17,143
LUKSAN22LC,OPTIMAL,0.16215991973876953,873.9404775269422,21,19,17,49
LUKSAN22LS,OPTIMAL,0.16225290298461914,868.9404775269423,21,19,17,49
MANCINO,OPTIMAL,0.14049911499023438,1.3523175169020244e-21,20,14,12,169
MODBEALE,OPTIMAL,0.2834298610687256,2.8610197559381826e-15,8,8,7,10
MOREBV,OPTIMAL,0.02031421661376953,1.0395423971692418e-11,1,1,1,0
MSQRTALS,OPTIMAL,12.654705047607422,2.1080271148257418e-13,76,49,42,657
MSQRTBLS,OPTIMAL,10.366384029388428,9.069349297859168e-17,67,44,40,496
