problem_name,status,total_execution_time,terminal_objective_value,total_function_evaluation,total_gradient_evaluation,total_hessian_evaluation,total_factorization_evaluation
10FOLDTRLS,TRUST_REGION_SUBPROBLEM_ERROR,6.9894490242004395,-1.339363256472786e15,78,78,78,446
ARGLINA,OPTIMAL,0.15326309204101562,199.99999999999977,2,2,1,1
ARGLINB,STEP_SIZE_LIMIT,0.6374638080596924,99.62546815915417,28,28,6,107
ARGLINC,STEP_SIZE_LIMIT,0.4273099899291992,101.12547050956422,24,24,4,84
ARGTRIGLS,OPTIMAL,0.23530912399291992,3.2231834130701116e-18,5,5,4,9
ARWHEAD,OPTIMAL,0.17788100242614746,0.0,7,7,6,6
BA-L21LS,TRUST_REGION_SUBPROBLEM_ERROR,5772.170469999313,4.640701865134066e6,8196,3653,3622,86992
BA-L49LS,TRUST_REGION_SUBPROBLEM_ERROR,2881.543137073517,1.7343183692424214e6,4151,1834,1827,47892
BA-L73LS,TRUST_REGION_SUBPROBLEM_ERROR,11784.479166030884,2.833746966197239e6,11794,5498,5226,121416
BDQRTIC,OPTIMAL,0.21030592918395996,20006.256878434815,11,11,10,21
BOX,OPTIMAL,0.2598898410797119,-1864.5379265657348,12,10,9,38
BOXPOWER,OPTIMAL,0.3299560546875,1.8136459120165984e-7,19,19,18,28
BROWNAL,OPTIMAL,0.22794294357299805,7.01522898755848e-14,5,5,4,5
BROYDN3DLS,OPTIMAL,0.1732630729675293,3.096154472780806e-17,6,6,5,5
BROYDN7D,OPTIMAL,2.1104190349578857,1496.54577395969,192,89,87,1723
BROYDNBDLS,OPTIMAL,0.36171984672546387,2.2414526144947234e-23,19,13,11,120
BRYBND,OPTIMAL,0.36075401306152344,2.2414526144947234e-23,19,13,11,120
CHAINWOO,OPTIMAL,5.240838050842285,16.59594277625153,1268,573,570,10279
COATING,OPTIMAL,0.1770319938659668,0.5054986186685089,37,23,21,242
COSINE,OPTIMAL,128.6752519607544,-3889.5157650934075,21717,17501,12452,115907
CRAGGLVY,OPTIMAL,0.2061312198638916,1688.2153097145663,14,14,13,14
CURLY10,OPTIMAL,0.9054989814758301,-1.0031629024131879e6,25,15,14,189
CURLY20,OPTIMAL,1.6845779418945312,-1.0031629024131879e6,25,15,14,167
CURLY30,OPTIMAL,2.5081379413604736,-1.0031629024131879e6,18,12,11,117
CYCLIC3LS,OPTIMAL,83.2642970085144,1.347159148044896e-18,1084,1054,689,3979
CYCLOOCFLS,OPTIMAL,16.145572900772095,6.621906797977001e-15,163,74,73,1723
DIXMAANB,OPTIMAL,0.21962714195251465,1.0,14,9,8,106
DIXMAANC,OPTIMAL,0.2881309986114502,1.0000000000001366,29,15,14,258
DIXMAAND,OPTIMAL,0.3209879398345947,1.0000000000080127,36,18,17,325
DIXMAANE1,OPTIMAL,0.21139907836914062,1.0,25,17,14,152
DIXMAANF,OPTIMAL,0.43340301513671875,1.000000000009443,53,26,24,518
DIXMAANG,OPTIMAL,0.4530940055847168,1.0000000000000409,60,28,27,603
DIXMAANH,OPTIMAL,0.4077138900756836,1.0000000009024876,46,22,21,486
DIXMAANI1,OPTIMAL,0.19577813148498535,1.0,15,10,9,99
DIXMAANJ,OPTIMAL,0.44872117042541504,1.0000000134090083,58,27,26,586
DIXMAANK,OPTIMAL,0.4632411003112793,1.0000000000000915,60,28,27,625
DIXMAANL,OPTIMAL,0.5013999938964844,1.0000000000036349,67,34,30,691
DIXMAANM1,OPTIMAL,0.2030501365661621,1.0,19,12,10,133
DIXMAANN,OPTIMAL,0.4415090084075928,1.0000000141149883,59,28,26,581
DIXMAANO,OPTIMAL,0.5088140964508057,1.0000005301235213,68,31,30,715
DIXMAANP,OPTIMAL,0.5382590293884277,1.0000002758030309,79,37,36,793
DIXON3DQ,OPTIMAL,0.18502521514892578,3.0708433917430744e-23,4,4,3,15
DQDRTIC,OPTIMAL,0.16325688362121582,1.9806285734791293e-25,2,2,1,1
DQRTIC,OPTIMAL,0.2216198444366455,1.5463203490974303e-7,36,36,35,128
EDENSCH,OPTIMAL,0.1730060577392578,12003.284592020764,13,13,12,12
EG2,OPTIMAL,0.16681289672851562,-998.947393300945,4,4,3,4
EIGENALS,OPTIMAL,922.0413331985474,2.3937132744351992e-9,381,169,167,5427
EIGENBLS,OPTIMAL,1142.1646070480347,1.2645360584818215e-9,1030,685,570,4988
EIGENCLS,OPTIMAL,1655.4747359752655,5.4845811498615455e-14,1049,536,498,8458
ENGVAL1,OPTIMAL,0.17669296264648438,5548.668419416185,8,8,7,7
EXTROSNB,OPTIMAL,1.3368749618530273,8.365687699789995e-8,1481,1059,865,5924
FLETBV3M,OPTIMAL,0.7948181629180908,-229642.69937943388,115,109,105,1037
FLETCBV2,OPTIMAL,0.020562171936035156,-0.5002681698025423,1,1,1,0
FLETCBV3,ITERATION_LIMIT,493.98939085006714,-3.320940455520653e9,100001,100001,100000,923034
FLETCHBV,ITERATION_LIMIT,495.64154410362244,-3.3222697713896595e17,100001,100001,100000,923840
FLETCHCR,OPTIMAL,2.607282876968384,1.5164978477957693e-20,3480,1940,1939,15781
FMINSRF2,OPTIMAL,2.9176299571990967,1.000023343204729,114,65,56,702
FMINSURF,OPTIMAL,1131.9873480796814,1.000000000000393,119,66,59,715
FREUROTH,OPTIMAL,0.18852496147155762,608159.1890463781,8,8,7,13
GENHUMPS,OPTIMAL,189.67219305038452,1.3641324943788848e-10,31736,30553,29218,377031
