problem_name,status,total_execution_time,function_value,graient_value,total_function_evaluation,total_gradient_evaluation,total_hessian_evaluation,total_factorization_evaluation
ARGLINA,OPTIMAL,0.92,200,1.6E-11,8,7,5,10
ARGLINB,STEP_SIZE_LIMIT,2.95,99.6254682,0.001,-35,-18,18,132
ARGLINC,ILL_CONDITIONED,3.26,101.125471,0.00019,-37,-22,20,135
ARGTRIGLS,OPTIMAL,1.87,1.56993E-15,0.0000035,29,23,22,135
ARWHEAD,OPTIMAL,0.08,0,0.00000021,12,10,8,26
BA-L16LS,TIME_LIMIT,18001.59,941099.041,0.00037,-9526,-9475,9473,29410
BA-L21LS,TIME_LIMIT,18000.85,395460.414,200000000,-22581,-22370,22368,75107
BDQRTIC,OPTIMAL,0.21,20006.2569,3.3E-09,22,21,19,56
BOX,OPTIMAL,0.26,-1864.53793,0.0000012,10,9,7,31
BOXPOWER,OPTIMAL,0.56,6.63812E-18,3.8E-09,11,9,7,26
BROWNAL,OPTIMAL,0.5,2.02636E-09,0.0000014,6,7,5,25
BROYDN3DLS,OPTIMAL,0.07,2.62356E-12,0.0000092,11,10,8,30
BROYDN7D,OPTIMAL,4.76,1511.95401,4.9E-09,252,163,161,1643
BROYDNBDLS,OPTIMAL,0.41,2.44059E-16,0.000003,19,15,13,111
BRYBND,OPTIMAL,0.41,2.44059E-16,0.000003,19,15,13,111
CHAINWOO,OPTIMAL,93.72,1015.54216,1.4E-11,11616,7694,7692,63442
COATING,OPTIMAL,0.03,0.505498619,0.0000066,30,26,24,163
COATINGNE,OPTIMAL,0,0,0,1,1,1,1
COSINE,ITERATION_LIMIT,1219.58,-4036.23312,0.028,-100001,-99159,99157,211829
CRAGGLVY,OPTIMAL,0.14,1688.21531,0.000000031,20,19,17,57
CURLY10,OPTIMAL,2.29,-1003162.9,0.0000085,39,36,34,228
CURLY20,OPTIMAL,4.5,-1003162.9,0.00000038,33,30,28,266
CURLY30,OPTIMAL,7.92,-1003162.9,0.0000097,37,34,32,247
CYCLOOCFLS,OPTIMAL,298.91,5.56949E-17,0.000000058,2202,1377,1375,13736
DIXMAANA,OPTIMAL,0.05,1,3.2E-15,11,10,8,30
DIXMAANB,OPTIMAL,0.06,1,9.3E-19,14,12,10,33
DIXMAANC,OPTIMAL,0.12,1,0.00000049,18,14,12,75
DIXMAAND,OPTIMAL,0.15,1,8.5E-18,19,14,12,90
DIXMAANE,OPTIMAL,0.19,1,0.0000019,18,13,11,112
DIXMAANF,OPTIMAL,0.57,1.00000004,0.0000086,37,21,19,319
DIXMAANG,OPTIMAL,0.65,1,0.00000087,46,26,24,380
DIXMAANH,OPTIMAL,0.51,1.00000001,0.0000045,38,24,22,292
DIXMAANI,OPTIMAL,0.22,1,1.8E-15,19,13,11,133
DIXMAANJ,OPTIMAL,0.77,1.00000145,0.0000044,60,33,31,531
DIXMAANK,OPTIMAL,0.98,1,0.0000063,61,32,31,583
DIXMAANL,OPTIMAL,0.92,1.00000001,0.0000051,57,30,28,537
DIXMAANM,OPTIMAL,0.07,1,6.5E-09,11,9,7,45
DIXMAANN,OPTIMAL,0.67,1,0.00000079,50,28,26,419
DIXMAANO,OPTIMAL,0.69,1.0000001,0.000004,51,27,26,419
DIXMAANP,OPTIMAL,0.6,1,0.000000021,40,22,20,350
DIXON3DQ,OPTIMAL,0.37,0.000444552,0.0000077,13,13,11,72
DQDRTIC,OPTIMAL,0.03,2.52261E-15,0.0000014,13,11,9,18
DQRTIC,OPTIMAL,0.25,1.31072E-07,0.0000041,58,54,52,237
EDENSCH,OPTIMAL,0.05,12003.2846,9.3E-09,20,19,17,56
EG2,OPTIMAL,0,-998.947393,0.0000026,7,6,4,8
EIGENALS,TIME_LIMIT,18020.98,0.000735268,0.28,-748,-460,458,7219
ENGVAL1,OPTIMAL,0.08,5548.66842,3.1E-09,15,14,12,37
EXTROSNB,OPTIMAL,2.55,1.88793E-08,0.0000094,1566,1158,1156,6474
FLETBV3M,OPTIMAL,232.71,-237871.645,7.3E-09,24883,19955,19953,113282
FLETCBV2,OPTIMAL,0,-0.50026817,0.0000044,1,1,1,1
FLETCBV3,ITERATION_LIMIT,911.38,-15756167.4,30,-100001,-91814,91812,448375
FLETCHBV,ITERATION_LIMIT,605.93,-9.26026E+15,3400000000,-100001,-90442,90440,280534
FLETCHCR,OPTIMAL,5.52,1.79399E-15,0.000000044,2882,1446,1444,12951
FMINSRF2,OPTIMAL,25.96,0.999999997,0.00000056,698,644,642,2210
FMINSURF,TIME_LIMIT,18033.23,1.09652744,0.032,-286,-263,261,888
FREUROTH,OPTIMAL,30.93,608159.189,0.00000071,5020,5018,5016,15081
GENHUMPS,ITERATION_LIMIT,1183.71,193911.789,250,-100001,-76875,76875,564009
GENROSE,OPTIMAL,1.44,1,5.9E-13,1351,963,961,6785
INDEF,ITERATION_LIMIT,848.83,-8.62114E+11,1200,-100001,-99997,99995,271547
INDEFM,OPTIMAL,9.44,-10049997,0.0000005,30,27,25,188
INTEQNELS,OPTIMAL,8.52,1.89379E-23,9.3E-12,4,5,3,14
JIMACK,OPTIMAL,19.39,0.866793296,0.0000068,19,14,12,131
KSSLS,OPTIMAL,693.14,8.61156E-21,0.00000018,27,24,22,110
LIARWHD,OPTIMAL,0.15,0,0,20,19,17,59
LUKSAN11LS,OPTIMAL,0.18,1.1862E-13,0.00000079,568,349,347,2476
LUKSAN15LS,OPTIMAL,0.01,3.56969688,5.5E-09,9,9,7,79
LUKSAN16LS,OPTIMAL,0.01,3.56969688,0.00000091,11,10,8,31
LUKSAN17LS,OPTIMAL,0.02,0.49316129,0.00000025,31,29,27,121
LUKSAN21LS,OPTIMAL,0.01,4.8882E-19,2E-10,20,18,16,88
LUKSAN22LS,OPTIMAL,0.01,868.940478,0.000000049,30,21,19,106
MANCINO,OPTIMAL,6.33,1.84802E-21,0.00000012,606,370,368,2619
MNISTS0LS,OPTIMAL,703.61,294.000011,0.0000072,89,45,43,1792
MNISTS5LS,OPTIMAL,1175.69,1314.00003,0.000008,121,77,75,866
MODBEALE,OPTIMAL,1.7,2.34402E-16,0.00000011,28,22,20,215
MOREBV,OPTIMAL,0.03,1.6293E-11,0.000000035,2,3,1,11
MSQRTALS,OPTIMAL,114.6,2.39865E-16,0.00000014,74,56,54,583
MSQRTBLS,OPTIMAL,135.83,1.05151E-12,0.0000079,102,82,80,689
NCB20,OPTIMAL,39.56,-1456.00189,4.2E-10,771,520,518,4767
NCB20B,OPTIMAL,1.1,7351.30058,0.0000093,15,12,10,112
NONCVXUN,ITERATION_LIMIT,4438.08,405224959,-1,100000,58748,58748,433655
NONDIA,OPTIMAL,0.35,7.9675E-29,1.8E-13,34,24,22,134
NONDQUAR,OPTIMAL,0.19,1.4283E-09,0.0000078,22,21,19,74
NONMSQRT,TIME_LIMIT,18000.08,708.714348,0.000073,-72251,-72237,72235,156247
OSCIGRAD,OPTIMAL,8.31,5.3243E-22,0.00000023,35,33,31,135
OSCIPATH,OPTIMAL,0,0.999966666,0.000000014,2,3,1,8
PENALTY1,OPTIMAL,23.23,0.009686175,0.00000013,63,59,57,171
PENALTY2,OPTIMAL,0.1,4.71163E+13,0.0000037,18,17,15,50
PENALTY3,OPTIMAL,1.29,0.000998093,0.00000042,33,27,26,251
POWELLSG,OPTIMAL,0.08,2.79258E-08,0.0000035,25,24,22,74
POWER,OPTIMAL,16424.3,4.21324E-11,0.0000054,59,56,54,154
QING,OPTIMAL,0,5.18084E-27,2.3E-12,22,21,19,64
QUARTC,OPTIMAL,0.26,1.31072E-07,0.0000041,58,54,52,237
SBRYBND,OPTIMAL,0.41,3.29894E-27,0.0000019,20,16,14,115
SCHMVETT,OPTIMAL,0.1,-14994,0.0000033,10,9,7,29
SCOSINE,ILL_CONDITIONED,1.11,-4987.95938,0.0016,-131,-98,96,633
SCURLY10,ILL_CONDITIONED,145.15,-1002754.34,0.000099,-2956,-2564,2562,16655
SCURLY20,ILL_CONDITIONED,356.76,-1002221.81,0.0094,-3649,-3169,3167,19960
SCURLY30,ILL_CONDITIONED,698.21,-1001569.11,0.00014,-4147,-3623,3621,22778
SENSORS,OPTIMAL,0.32,-2068.03125,3.4E-12,41,35,33,212
SINQUAD,OPTIMAL,0.28,-6757013.76,0.000000068,26,24,22,101
SPARSINE,OPTIMAL,3168.48,1.47587E-14,0.000002,109,71,69,688
SPARSQUR,OPTIMAL,2509.97,1.1998E-08,0.0000065,32,29,28,87
SPIN2LS,OPTIMAL,0.1,2.26714E-24,3.5E-10,11,10,8,43
SPINLS,OPTIMAL,851.96,3.96682E-16,0.0000026,478,295,293,4281
SPMSRTLS,OPTIMAL,1.95,20.0387323,0.0000031,116,73,71,824
SROSENBR,OPTIMAL,0.05,1.66826E-20,5.8E-09,15,12,10,40
SSBRYBND,OPTIMAL,0.41,3.23771E-27,4.7E-09,20,16,14,115
SSCOSINE,OPTIMAL,1.02,-4985.34723,0.00000047,109,81,79,581
TESTQUAD,OPTIMAL,0.03,8.6076E-27,1.2E-10,16,14,12,24
TOINTGSS,OPTIMAL,0.4,10.0020008,0.000000011,41,24,22,180
TQUARTIC,OPTIMAL,0.17,2.26388E-27,8.8E-12,13,12,10,56
TRIDIA,OPTIMAL,0.08,3.60034E-17,0.00000069,15,13,11,42
VARDIM,OPTIMAL,0.33,1.29302E-26,3.7E-10,43,41,39,154
VAREIGVL,OPTIMAL,3101,3.04198E-09,0.0000062,32,25,23,179
WOODS,OPTIMAL,0.27,5.03347E-19,0.000000021,75,48,46,316
BA-L49LS,TIME_LIMIT,18000.06,166898.668,420000000,-13829,-7874,7872,106480
BA-L52LS,TIME_LIMIT,18011.44,129597064,150000000,-1355,-772,770,7586
BA-L73LS,TIME_LIMIT,18000.46,1048918.95,87000000,-5807,-2531,2531,73058
EIGENBLS,OPTIMAL,13409.83,3.39413E-10,0.0000083,999,629,627,5512
NONCVXU2,TIME_LIMIT,18001.71,34528083300,600000,-2383,-1889,1888,10396
EIGENCLS,TIME_LIMIT,18011.57,0.107590369,0.57,-808,-512,511,6202
YATP1CLS,FAILURE,45.86,2540369480,16000000,-1,-1,0,1
YATP1LS,FAILURE,51.13,2540369480,16000000,-1,-1,0,1
YATP2CLS,FAILURE,67.6,7672672050,750000,-1,-1,0,1
YATP2LS,FAILURE,66.3,7672672050,750000,-1,-1,0,1
