problem_name,status,total_iterations_count,function_value,graient_value,total_function_evaluation,total_gradient_evaluation,total_hessian_evaluation
ALLINITU,SUCCESS,10,5.74438491,2.28E-06,11,11,8
ARGLINA,SUCCESS,3,200,1.06E-12,4,4,3
BARD,SUCCESS,10,0.008214877,2.16E-09,11,11,10
BEALE,SUCCESS,9,3.73E-12,1.51E-06,10,10,7
BIGGS6,SUCCESS,56,5.64E-07,8.52E-06,57,57,34
BOX3,SUCCESS,7,1.38E-11,2.28E-06,8,8,7
BRKMCC,SUCCESS,2,0.169042679,6.11E-06,3,3,2
BROWNAL,SUCCESS,5,5.51E-19,4.92E-09,6,6,5
BROWNBS,SUCCESS,29,5.70E-13,3.54E-06,30,30,25
BROWNDEN,SUCCESS,10,85822.20135,2.21E-11,11,11,10
CHNROSNB,SUCCESS,91,3.51E-22,1.53E-10,92,92,64
CLIFF,SUCCESS,27,0.199786614,1.61E-10,28,28,27
CUBE,SUCCESS,51,3.01E-20,2.21E-10,52,52,36
DENSCHNA,SUCCESS,5,2.21E-12,2.97E-06,6,6,5
DENSCHNB,SUCCESS,3,1.23E-32,2.22E-16,4,4,3
DENSCHNC,SUCCESS,10,2.18E-20,7.90E-10,11,11,10
DENSCHND,SUCCESS,38,9.61E-09,6.73E-06,39,39,29
DENSCHNE,SUCCESS,11,8.29E-18,5.76E-09,12,12,9
DENSCHNF,SUCCESS,6,6.51E-22,6.29E-10,7,7,6
DJTL,SUCCESS,165,-8951.544724,1.24E-08,166,166,88
ENGVAL2,SUCCESS,15,5.44E-21,5.07E-09,16,16,14
ERRINROS,SUCCESS,69,39.90415392,6.90E-08,70,70,56
EXPFIT,SUCCESS,6,0.240510594,2.90E-08,7,7,6
GENROSEB,SUCCESS,843,1,1.61E-10,844,844,470
GROWTHLS,SUCCESS,133,1.004040584,1.98E-11,134,134,121
GULF,SUCCESS,49,6.81E-13,3.27E-07,50,50,36
HAIRY,SUCCESS,41,20,2.25E-06,42,42,28
HATFLDD,SUCCESS,21,6.62E-08,6.56E-06,22,22,18
HATFLDE,SUCCESS,22,5.12E-07,3.51E-06,23,23,18
HEART6LS,SUCCESS,5765,7.34E-09,9.33E-06,5766,5766,5373
HEART8LS,SUCCESS,129,6.22E-19,3.94E-08,130,130,73
HELIX,SUCCESS,14,3.96E-17,2.21E-08,15,15,9
HIMMELBB,SUCCESS,13,5.69E-21,1.59E-08,14,14,10
HUMPS,SUCCESS,475,7.16E-14,1.20E-07,476,476,387
HYDC20LS,SUCCESS,1463,2.02E-05,9.96E-06,1464,1464,1458
JENSMP,SUCCESS,9,124.3621824,4.80E-06,10,10,9
KOWOSB,SUCCESS,12,0.000307801,8.14E-08,13,13,9
LOGHAIRY,SUCCESS,1086,0.182321557,1.78E-13,1087,1087,802
MANCINO,SUCCESS,15,1.83E-21,1.20E-07,16,16,13
MEXHAT,SUCCESS,57,-0.04001,2.31E-06,58,58,41
MEYER3,ITERARION_LIMIT,10001,112.9859701,723.9462744,10001,10001,10000
OSBORNEA,ITERARION_LIMIT,10001,0.047472644,0.0001869,10001,10001,9993
OSBORNEB,SUCCESS,46,0.087594724,9.00E-11,47,47,33
PALMER5C,SUCCESS,4,2.128086643,1.29E-13,5,5,4
PALMER6C,SUCCESS,4,0.016387438,2.86E-09,5,5,4
PALMER7C,SUCCESS,5,0.601987195,5.34E-09,6,6,5
PALMER8C,SUCCESS,5,0.159767833,7.68E-10,6,6,5
PARKCH,SUCCESS,26,1623.743258,3.28E-10,27,27,18
PENALTY2,FAILURE,10001,4.71E+13,1.994794627,10001,10001,345
PENALTY3,SUCCESS,28,0.001000954,6.18E-07,29,29,21
PFIT1LS,SUCCESS,650,4.61E-09,9.42E-06,651,651,542
PFIT2LS,SUCCESS,261,1.79E-09,7.76E-06,262,262,224
PFIT3LS,SUCCESS,259,1.22E-14,1.61E-06,260,260,219
PFIT4LS,SUCCESS,508,7.24E-14,4.22E-06,509,509,433
ROSENBR,SUCCESS,40,3.88E-19,7.52E-10,41,41,28
S308,SUCCESS,19,0.773199056,5.51E-06,20,20,13
SENSORS,SUCCESS,25,-1893.375,4.04E-06,26,26,22
SINEVAL,SUCCESS,90,2.43E-18,2.01E-08,91,91,62
SISSER,SUCCESS,12,1.07E-08,5.52E-06,13,13,12
SNAIL,SUCCESS,136,3.66E-13,1.21E-06,137,137,92
STREG,SUCCESS,34,6.60E-19,3.57E-08,35,35,30
TOINTGOR,SUCCESS,7,1373.905461,4.92E-10,8,8,7
TOINTPSP,SUCCESS,28,225.5604094,4.23E-06,29,29,19
VARDIM,SUCCESS,29,4.46E-23,2.19E-08,30,30,29
VIBRBEAM,SUCCESS,79,0.156446071,5.27E-09,80,80,66
WATSON,SUCCESS,12,7.63E-08,5.46E-06,13,13,11
YFITU,SUCCESS,112,6.67E-13,1.24E-10,113,113,106
