problem_name,status,total_execution_time,function_value,graient_value,total_function_evaluation,total_gradient_evaluation,total_hessian_evaluation,total_factorization_evaluation
ARGLINA,SUCCESS,2.108822107,200,1.06E-12,4,4,3,23
ARGLINB,FAILURE,213.56481,99.6,0.000190672,200001,200001,200001,200001
ARGLINC,FAILURE,207.3447242,101.1254705,0.018925416,200001,200001,200001,200001
ARGTRIGLS,SUCCESS,3.741545916,5.65E-26,5.48E-11,13,13,12,36
ARWHEAD,SUCCESS,11.21016312,0,5.77E-12,7,7,6,6
BA-L16LS,SUCCESS,5821.155404,849000,0.00000375,503,503,492,4733
BA-L21LS,FAILURE,18000,NaN,NaN,200001,200001,200001,200001
BDQRTIC,SUCCESS,21.23198009,20000,8.84E-10,12,12,11,45
BOX,SUCCESS,86.85248208,-1864.537927,1.16E-10,8,8,7,38
BOXPOWER,SUCCESS,1481.502273,0.000000087,0.00000392,17,17,16,140
BROWNAL,SUCCESS,1.996758938,5.51E-19,4.92E-09,6,6,5,44
BROYDN3DLS,SUCCESS,13.74521017,1.17E-24,6.71E-12,8,8,7,38
BROYDN7D,SUCCESS,635.951781,1504.61854,0.000000104,190,190,105,2074
BROYDNBDLS,SUCCESS,42.67529607,1.71E-15,0.00000426,22,22,13,290
BRYBND,SUCCESS,42.9841311,1.71E-15,0.00000426,22,22,13,290
CHAINWOO,SUCCESS,2305.861586,1,5.35E-09,5271,5271,2831,59116
COATING,SUCCESS,0.255925894,0.505498619,4.41E-11,40,40,25,452
COATINGNE,SUCCESS,0.209320068,0,0,1,1,1,1
COSINE,MAX_TIME,18000,-6157.50916,0.004646882,200001,200001,200001,200001
CRAGGLVY,SUCCESS,39.06341505,1690,6.23E-09,22,22,21,55
CURLY10,SUCCESS,161.2465799,-1000000,2.68E-11,26,26,16,285
CURLY20,SUCCESS,170.9246061,-1000000,0.000000911,22,22,15,253
CURLY30,SUCCESS,156.200305,-1000000,3.68E-09,17,17,14,169
CYCLOOCFLS,FAILURE,59372.29903,23100,1630.343517,200001,200001,200001,200001
DIXMAANA,SUCCESS,3.347025871,1,4.84E-09,9,9,7,67
DIXMAANB,SUCCESS,22.0133791,1,2.2E-10,27,27,18,321
DIXMAANC,SUCCESS,14.22916317,1,9.61E-10,31,31,19,404
DIXMAAND,SUCCESS,16.28498578,1,3.71E-09,41,41,24,538
DIXMAANE,SUCCESS,5.213325977,1,2.2E-09,15,15,10,185
DIXMAANF,SUCCESS,20.54659891,1,3.85E-10,53,53,30,733
DIXMAANG,SUCCESS,14.19056201,1,9.69E-09,55,55,32,691
DIXMAANH,SUCCESS,12.21639395,1,0.00000134,52,52,29,707
DIXMAANI,SUCCESS,20.6794529,1,1.51E-21,22,22,14,252
DIXMAANJ,SUCCESS,25.57873392,1,0.00000129,85,85,47,1212
DIXMAANK,SUCCESS,15.60864496,1,3.37E-10,82,82,46,1070
DIXMAANL,SUCCESS,14.19296694,1,0.000000564,68,68,38,946
DIXMAANM,SUCCESS,7.911509037,1,6.97E-15,21,21,13,235
DIXMAANN,SUCCESS,14.07601404,1,0.00000467,81,81,43,1348
DIXMAANO,SUCCESS,43.50032711,1,0.00000608,62,62,34,1240
DIXMAANP,SUCCESS,49.99287605,1,0.000005,101,101,54,1777
DIXON3DQ,SUCCESS,49.72831011,3.06E-23,6.44E-14,5,5,4,44
DQDRTIC,SUCCESS,7.524876833,1.97E-31,8.88E-16,5,5,4,49
DQRTIC,FAILURE,49.70762014,3.45E+17,8.3E+12,200001,200001,200001,200001
EDENSCH,SUCCESS,5.299865961,12000,0.00000133,28,28,19,342
EG2,SUCCESS,7.27750802,-998.9473933,3.38E-12,9,9,8,128
EIGENALS,MAX_TIME,18000,0.276,0.334050878,200001,200001,200001,200001
ENGVAL1,SUCCESS,16.96111107,5550,0.00000115,10,10,9,39
EXTROSNB,SUCCESS,54.06024003,0.000000993,0.0000098,489,489,429,4292
