problem_name,status,total_execution_time,function_value,gradient_value,total_function_evaluation,total_gradient_evaluation,total_hessian_evaluation,total_factorization_evaluation
ARGLINA,OPTIMAL,0.29700708389282227,200.0000000000031,1.626529622676562e-12,2,2,1,1
ARGLINB,STEP_SIZE_LIMIT,6.224251985549927,99.62546815844422,0.001956527,30,30,17,747
ARGLINC,STEP_SIZE_LIMIT,3.5752360820770264,101.12547051033921,0.006708961,20,20,9,501
ARGTRIGLS,OPTIMAL,1.7356970310211182,1.6724897283354646e-21,3.877365880847272e-9,11,11,10,126
ARWHEAD,OPTIMAL,0.9639091491699219,0,5.77150686735341e-12,7,7,6,6
BA-L16LS,OPTIMAL,2488.0033118724823,848692.7618672688,6.1892398587038805e-6,187,151,140,2100
BA-L21LS,STEP_SIZE_LIMIT,6351.1259689331055,547924.2197097301,3732.302543902865,679,408,393,8818
BDQRTIC,OPTIMAL,1.0065281391143799,20006.256878434804,2.8468750807696968e-6,10,10,9,9
BOX,OPTIMAL,6.1232099533081055,-1864.537927,4.584036398751183e-8,11,9,8,62
BOXPOWER,OPTIMAL,39.979928970336914,1.9738646853867846e-7,8.542431479299705e-6,15,15,14,33
BROWNAL,OPTIMAL,6.152105093002319,7.904898488364712e-20,2.4130895457102834e-9,25,25,24,786
BROYDN3DLS,OPTIMAL,0.9632010459899902,3.096154472780806e-17,3.581768524316916e-8,6,6,5,5
BROYDN7D,OPTIMAL,39.75337290763855,1709.2607701181005,2.2125986305361334e-8,592,254,252,7044
BROYDNBDLS,OPTIMAL,6.101912021636963,4.753166491661098e-28,3.9112974325195785e-12,29,19,16,573
BRYBND,OPTIMAL,4.181401968002319,3.3380493980351973e-25,1.2504260339842559e-11,25,15,14,383
CHAINWOO,OPTIMAL,35.24797296524048,110.67271171937671,3.756978057433291e-6,1772,783,776,19096
COATING,OPTIMAL,0.13592910766601562,0.5054986186685093,1.3450585089555428e-10,48,31,24,472
COATINGNE,OPTIMAL,0.001136065,0,0,1,1,1,1
COSINE,OPTIMAL,8.768188953399658,-9997.830015,4.037388902584803e-8,28,27,23,485
CRAGGLVY,OPTIMAL,1.1037678718566895,1688.2153097145663,2.0455417411218423e-8,15,15,14,33
CURLY10,OPTIMAL,12.833581924438477,-1.00E+06,1.9214517681287577e-7,32,17,16,338
CURLY20,OPTIMAL,16.174521923065186,-1.00E+06,5.097695056433712e-6,22,13,12,219
CURLY30,OPTIMAL,24.510066032409668,-1.00E+06,2.2837744764044076e-6,27,15,14,267
CYCLOOCFLS,OPTIMAL,348.59219908714294,6.111707198924256e-11,3.172706260032903e-6,303,171,169,5986
DIXMAANA,OPTIMAL,0.7707118988037109,1,1.8997309370517477e-20,9,6,5,67
DIXMAANB,OPTIMAL,0.931502104,1,3.8136424168874303e-7,14,10,9,206
DIXMAANC,OPTIMAL,1.2815899848937988,1.0000000000015095,2.4522302512942014e-6,28,15,14,342
DIXMAAND,OPTIMAL,1.713284969329834,1,4.100438533532282e-11,37,20,19,487
DIXMAANE,OPTIMAL,0.7024118900299072,1,4.670896010967294e-16,21,13,11,256
DIXMAANF,OPTIMAL,1.9625580310821533,1.0000000009921997,9.856401255418808e-6,41,19,18,546
DIXMAANG,OPTIMAL,2.3343050479888916,1,2.4928071891158336e-9,51,24,23,683
DIXMAANH,OPTIMAL,2.5281131267547607,1.0000000000245042,1.6243674350678717e-6,51,23,22,669
DIXMAANI,OPTIMAL,0.9239881038665771,1,1.0411969235415225e-9,30,17,15,368
DIXMAANJ,OPTIMAL,2.8092799186706543,1.000000000584251,2.1391615477600572e-6,46,25,24,804
DIXMAANK,OPTIMAL,3.183130979537964,1.0000000179243762,9.553183162349172e-6,72,31,30,975
DIXMAANL,OPTIMAL,3.4416399002075195,1.0000000000000002,1.9465598162262324e-9,83,37,36,1083
DIXMAANM,OPTIMAL,0.6296567916870117,1,2.8353589329323797e-11,16,10,9,198
DIXMAANN,OPTIMAL,3.3917179107666016,1.0000002730753668,3.713975709240511e-6,37,29,28,1021
DIXMAANO,OPTIMAL,3.6269571781158447,1.0000001618077046,5.657074324429197e-6,38,30,28,1042
DIXMAANP,OPTIMAL,4.424851894378662,1.000000973201041,2.195759200329914e-6,50,36,35,1309
DIXON3DQ,OPTIMAL,5.946483850479126,3.0048199223344443e-23,6.216059299416045e-14,3,3,2,27
DQDRTIC,OPTIMAL,1.000957966,1.9806285734791293e-25,1.2618811831563154e-11,2,2,1,1
DQRTIC,OPTIMAL,0.6493189334869385,1.3882011252080165e-7,4.323822096334695e-6,36,36,35,224
EDENSCH,OPTIMAL,0.12343907356262207,12003.284592020764,1.6260759912966062e-10,13,13,12,12
EG2,OPTIMAL,0.1236112117767334,-998.9473933,3.1700495947458026e-7,9,9,8,278
EIGENALS,OPTIMAL,5402.541482925415,1.7916098755487096e-10,5.485905352500688e-7,166,161,160,7024
ENGVAL1,OPTIMAL,0.9714038372039795,5548.668419416185,2.68517798486935e-6,8,8,7,7
EXTROSNB,OPTIMAL,2.3003439903259277,3.5975675363808724e-7,9.294481600376115e-6,810,567,514,5366
FLETBV3M,OPTIMAL,5.332008123397827,-231673.9069,5.921604281984616e-8,112,105,98,1368
FLETCBV2,OPTIMAL,0.00440979,-0.50026817,4.410805555014526e-6,1,1,1,1
FLETCBV3,ITERATION_LIMIT,4011.2364540100098,-3.54E+09,32.56040889049855,100001,100001,100000,1247700
FLETCHBV,ITERATION_LIMIT,4004.5322499275208,-3.54E+17,3.2437626106033044e9,100001,100001,100000,1246771
FLETCHCR,OPTIMAL,6.4545159339904785,3.116908919557685e-16,7.008145264030277e-7,2794,1913,1766,12898
FMINSRF2,OPTIMAL,17.262025833129883,1.0000016121121196,8.348317230694e-7,105,62,49,1220
FMINSURF,OPTIMAL,8197.285763978958,0.9999999973721965,5.595150829672956e-7,114,63,52,1245
FREUROTH,OPTIMAL,1.1109731197357178,608159.1890463319,1.1137004458902205e-6,11,9,7,62
GENHUMPS,OPTIMAL,1697.206563949585,2.8535908898059765e-13,3.37851816034508e-7,31662,30368,28884,474751
GENROSE,OPTIMAL,3.0656280517578125,1.0000000000000366,4.544409881932596e-6,941,417,412,8921
INDEF,ITERATION_LIMIT,1172.3042888641357,-1.22E+15,70.71071937370556,100000,100000,99999,600096
INDEFM,OPTIMAL,42.63206696510315,-1.00E+07,1.4511554723428326e-7,21,20,19,482
INTEQNELS,OPTIMAL,11.267870903015137,1.486535908970413e-20,3.012849188729289e-10,4,4,3,3
JIMACK,OPTIMAL,41.10648012161255,0.8667932957339312,3.241664625641444e-7,39,22,20,602
KSSLS,OPTIMAL,412.7810059,3.0991897600018284e-20,3.513443456378751e-7,9,9,8,8
LIARWHD,OPTIMAL,0.9813768863677979,6.3807754778159845e-22,4.06520854526598e-9,13,13,12,12
LUKSAN11LS,OPTIMAL,0.19545316696166992,2.0621584089776827e-20,8.356627615049854e-10,510,379,361,1646
LUKSAN15LS,OPTIMAL,0.10587882995605469,3.569696877226694,1.1581140205619625e-11,18,9,8,423
LUKSAN16LS,OPTIMAL,0.023180962,3.5696968772266966,4.633262673543447e-11,9,8,7,103
LUKSAN17LS,OPTIMAL,0.05000186,0.4931612903225846,2.938933999844681e-10,22,21,18,155
LUKSAN21LS,OPTIMAL,0.029411077,8.470637298565461e-18,7.798654424936883e-10,25,15,14,188
LUKSAN22LS,OPTIMAL,0.009704828,868.9404775269419,7.95934774507842e-10,24,18,17,58
MANCINO,OPTIMAL,0.5513970851898193,1.3874121084180071e-21,1.0419351912967941e-7,21,12,11,243
MNISTS0LS,OPTIMAL,1199.9770300388336,296.00002613693454,4.8735610986192805e-6,88,53,48,826
MNISTS5LS,OPTIMAL,1606.608227968216,1390.0000043578732,3.955303811948007e-6,118,69,64,1174
MODBEALE,OPTIMAL,40.26658296585083,7.445997587215016e-18,1.7674225837514933e-8,8,8,7,48
MOREBV,OPTIMAL,1.2833530902862549,9.751189628770298e-12,1.6492833638453658e-9,2,2,1,26
MSQRTALS,OPTIMAL,159.51066398620605,5.0201766843918544e-14,2.5117848084368896e-6,71,38,31,862
MSQRTBLS,OPTIMAL,156.09931087493896,1.3628715429765436e-9,9.228114865366183e-6,71,36,33,865
NCB20,OPTIMAL,56.163697957992554,-1453.404512,2.8465110712079367e-9,183,93,92,2607
NCB20B,OPTIMAL,16.185110092163086,7351.300584942229,1.4344471434773428e-7,37,26,25,699
NONCVXUN,OPTIMAL,1060.4069199562073,11596.664950941748,9.999640147013496e-6,8177,5723,5686,75979
NONDIA,OPTIMAL,1.021148920059204,1.0429396330301666e-21,4.2169438514096985e-8,6,6,5,44
NONDQUAR,OPTIMAL,1.1118659973144531,1.0476746684321229e-9,6.195868820709676e-6,19,19,18,38
NONMSQRT,STEP_SIZE_LIMIT,2473.6081750392914,708.6149494367281,6.852267615025209e-5,4281,4195,4151,38530
OSCIGRAD,OPTIMAL,6.039587020874023,6.275880095745307e-24,6.569365796854653e-8,13,11,10,51
OSCIPATH,OPTIMAL,0.020228147506713867,0.9999666655201663,2.8608035251631506e-12,3,3,2,32
PENALTY1,OPTIMAL,8.706233024597168,0.009686175,9.298724104655024e-8,49,41,40,61
PENALTY2,OPTIMAL,0.028331041,4.711627728753194e13,6.377680365889048e-8,11,11,10,10
PENALTY3,OPTIMAL,1.4356517791748047,0.000999285,1.1890366092262116e-8,35,17,16,195
POWELLSG,OPTIMAL,0.9957969188690186,4.2185697780289144e-8,4.957660696485648e-6,19,19,18,18
POWER,OPTIMAL,957.8109409809113,2.1703037608442954e-11,3.284094240283515e-6,38,38,37,37
QING,OPTIMAL,0.034203053,3.4145121408991875e-13,4.0755138700049195e-6,20,11,10,187
QUARTC,OPTIMAL,0.6723949909210205,1.3882011252080165e-7,4.323822096334695e-6,36,36,35,224
SBRYBND,OPTIMAL,3.292741060256958,1.3156627638712119e-21,1.3582093868512473e-6,31,21,20,323
SCHMVETT,OPTIMAL,0.9840099811553955,-14994,1.305831300496095e-11,4,4,3,3
SCOSINE,STEP_SIZE_LIMIT,12.106029987335205,-4990.81262,0.001701072,126,124,121,3596
SCURLY10,STEP_SIZE_LIMIT,16.147752046585083,7.0056629189629e31,1.2915089023924308e30,1,1,1,1130
SCURLY20,STEP_SIZE_LIMIT,84.01928496360779,9.031409469514388e32,1.6495768686774528e31,1,1,1,2872
SCURLY30,STEP_SIZE_LIMIT,225.47493600845337,4.163190245539976e33,7.53559036005948e31,1,1,1,2915
SENSORS,OPTIMAL,0.5540711879730225,-1919.53125,1.6852092114380978e-6,25,20,17,299
SINQUAD,OPTIMAL,1.2975389957427979,-6.76E+06,2.4324548530817154e-6,19,11,10,167
SPARSINE,OPTIMAL,263.6344721317291,1.616329959010888e-11,1.0571510090846921e-7,32,26,21,562
SPARSQUR,OPTIMAL,35.96600008010864,4.488230635883863e-9,2.9634278042352557e-6,23,23,22,22
SPIN2LS,OPTIMAL,1.038689136505127,2.2136990555995665e-17,1.307573637744403e-7,17,17,16,636
SPINLS,OPTIMAL,31.67405891418457,6.019253096407512e-9,9.005579252875488e-7,50,41,36,589
SPMSRTLS,OPTIMAL,2.7708170413970947,1.0377955877130467e-14,9.047274904075999e-8,33,18,17,378
SROSENBR,OPTIMAL,0.981132984,2.4441311979679593e-17,1.100158719069908e-7,11,9,8,16
