problem_name,status,total_execution_time,function_value,gradient_value,total_function_evaluation,total_gradient_evaluation,total_hessian_evaluation,total_factorization_evaluation
ARGLINA,OPTIMAL,0.8386120796203613,200.00000000000054,1.5298380435074002e-12,2,2,1,1
ARGLINB,TRUST_REGION_SUBPROBLEM_ERROR,1.9145729541778564,99.6254681636106,0.006187699144650656,7,7,4,65
ARGLINC,STEP_SIZE_LIMIT,1.8432090282440186,101.1254705096627,0.0058260252235851125,25,25,4,175
ARGTRIGLS,OPTIMAL,0.6674749851226807,3.2231847039242316e-18,3.748242183488447e-8,5,5,4,10
ARWHEAD,OPTIMAL,0.024784088134765625,0.0,5.77150686735341e-12,7,7,6,6
BA-L16LS,OPTIMAL,995.8938999176025,848692.7618672764,3.800058943808644e-6,142,120,80,1044
BA-L21LS,TRUST_REGION_SUBPROBLEM_ERROR,5086.372380018234,577565.299615346,4.9014680530418925e7,808,362,359,14161
BA-L49LS,TRUST_REGION_SUBPROBLEM_ERROR,12625.307819843292,1.9634897270883822e6,8.082143586424405e10,2534,1126,1119,46443
BA-L52LS,TIME_LIMIT,18038.59421801567,2.4100052817164984e7,2.387880035844381e6,241,116,111,3826
BA-L73LS,TIME_LIMIT,18001.673763990402,1.4557356493631464e6,3.8635770453228108e6,2251,1026,1011,39876
BDQRTIC,OPTIMAL,0.1262059211730957,20006.256878434815,9.791296040960702e-9,11,11,10,22
BOX,OPTIMAL,1.1212780475616455,-1864.5379265641373,5.066880151928667e-10,13,11,10,104
BOXPOWER,OPTIMAL,0.2603027820587158,1.7078433890182733e-7,7.444844591672978e-6,15,15,14,22
BROWNAL,OPTIMAL,0.7893900871276855,2.0248293277612415e-16,8.92430700356415e-8,6,6,5,12
BROYDN3DLS,OPTIMAL,0.030931949615478516,3.096154472780806e-17,3.581768524316916e-8,6,6,5,5
BROYDN7D,OPTIMAL,9.13176703453064,1736.6032896011127,5.6814998708187176e-8,99,49,47,1576
BROYDNBDLS,OPTIMAL,2.1037161350250244,2.6925006659390743e-21,6.994728201603405e-10,24,14,13,267
BRYBND,OPTIMAL,2.034188985824585,2.6925006659390743e-21,6.994728201603405e-10,24,14,13,267
CHAINWOO,OPTIMAL,50.618221044540405,405.5371477359265,1.9578126557919285e-9,936,428,426,15167
COATING,OPTIMAL,0.3644068241119385,0.5054986186685099,3.838858300259432e-11,44,25,22,516
COATINGNE,OPTIMAL,0.0011379718780517578,0.0,0.0,1,1,1,1
COSINE,ITERATION_LIMIT,1548.2245788574219,-3810.8945891380836,0.000579267125940512,100001,99640,98815,405821
