problem_name,status,total_iterations_count,total_function_evaluation,total_gradient_evaluation,total_hessian_evaluation
ALLINITU,OPTIMAL,10,11,11,9
ARGLINA,OPTIMAL,5,6,6,6
BARD,OPTIMAL,13,14,14,14
BEALE,OPTIMAL,7,8,8,7
BIGGS6,ITERATION_LIMIT,10001,10001,10001,10001
BOX3,OPTIMAL,7,8,8,8
BRKMCC,OPTIMAL,2,3,3,3
BROWNAL,OPTIMAL,6,7,7,7
BROWNBS,ITERATION_LIMIT,10001,10001,10001,10001
BROWNDEN,FAILURE,11,12,12,11
CHNROSNB,OPTIMAL,66,67,67,52
CLIFF,OPTIMAL,27,28,28,28
CUBE,OPTIMAL,28,29,29,26
DENSCHNA,OPTIMAL,5,6,6,6
DENSCHNB,ITERATION_LIMIT,10001,10001,10001,10001
DENSCHNC,OPTIMAL,10,11,11,11
DENSCHND,OPTIMAL,35,36,36,31
DENSCHNE,OPTIMAL,13,14,14,11
DENSCHNF,OPTIMAL,6,7,7,7
DJTL,FAILURE,95,96,96,63
ENGVAL2,OPTIMAL,17,18,18,16
ERRINROS,OPTIMAL,48,49,49,42
EXPFIT,OPTIMAL,8,9,9,8
GENROSEB,OPTIMAL,413,414,414,318
GROWTHLS,OPTIMAL,84,85,85,70
GULF,OPTIMAL,31,32,32,27
HAIRY,OPTIMAL,90,91,91,78
HATFLDD,OPTIMAL,21,22,22,20
HATFLDE,OPTIMAL,19,20,20,19
HEART6LS,OPTIMAL,819,820,820,732
HEART8LS,OPTIMAL,125,126,126,100
HELIX,OPTIMAL,9,10,10,9
HIMMELBB,FAILURE,22,23,23,8
HUMPS,OPTIMAL,4497,4498,4498,4116
HYDC20LS,OPTIMAL,930,931,931,727
JENSMP,OPTIMAL,9,10,10,10
KOWOSB,OPTIMAL,8,9,9,7
LOGHAIRY,OPTIMAL,5956,5957,5957,5290
MANCINO,OPTIMAL,17,18,18,18
MEXHAT,OPTIMAL,32,33,33,29
MEYER3,FAILURE,305,306,306,242
OSBORNEA,OPTIMAL,35,36,36,28
OSBORNEB,OPTIMAL,18,19,19,16
PALMER5C,OPTIMAL,6,7,7,7
PALMER6C,OPTIMAL,10,11,11,11
PALMER7C,OPTIMAL,17,18,18,18
PALMER8C,OPTIMAL,11,12,12,12
PARKCH,OPTIMAL,20,21,21,16
PENALTY2,FAILURE,17,18,18,10
PENALTY3,OPTIMAL,20,21,21,20
PFIT1LS,OPTIMAL,337,338,338,276
PFIT2LS,OPTIMAL,190,191,191,159
PFIT3LS,OPTIMAL,155,156,156,133
PFIT4LS,OPTIMAL,286,287,287,233
ROSENBR,OPTIMAL,25,26,26,23
S308,OPTIMAL,8,9,9,9
SENSORS,OPTIMAL,26,27,27,21
SINEVAL,OPTIMAL,52,53,53,45
SISSER,OPTIMAL,12,13,13,13
SNAIL,OPTIMAL,75,76,76,67
STREG,ITERATION_LIMIT,10001,10001,10001,10001
TOINTGOR,OPTIMAL,8,9,9,9
TOINTPSP,OPTIMAL,24,25,25,21
VARDIM,OPTIMAL,29,30,30,30
VIBRBEAM,OPTIMAL,58,59,59,43
WATSON,OPTIMAL,12,13,13,13
YFITU,OPTIMAL,58,49,49,44
