problem_name,status,total_execution_time,function_value,graient_value,total_function_evaluation,total_gradient_evaluation,total_hessian_evaluation,total_factorization_evaluation
ARGLINA,OPTIMAL,0.2,200,1.6E-12,1,2,0,2
ARGLINB,FAILURE,0,99.62546817,2.1621,9,3,3,1
ARGLINC,FAILURE,0,101.1254705,1.0336,9,3,3,1
ARGTRIGLS,OPTIMAL,2.24,1.486E-20,6.6E-09,35,28,26,118
ARWHEAD,OPTIMAL,0.04,0,3.2E-09,7,7,5,10
BA-L16LS,TIME_LIMIT,18014.68,904089.534,4.2,-797,-748,746,59192
BA-L21LS,OPTIMAL,333.94,394992.51,0.0000093,264,206,204,2121
BDQRTIC,OPTIMAL,0.08,20006.2569,0.00000094,11,11,9,19
BOX,OPTIMAL,0.15,-1864.53793,0.000000015,11,7,5,11
BOXPOWER,OPTIMAL,0.4,1.53729E-07,0.0000067,10,10,8,17
BROWNAL,OPTIMAL,1.2,5.72903E-22,1.5E-10,17,15,13,92
BROYDN3DLS,OPTIMAL,0.03,9.56767E-14,0.0000019,6,6,4,8
BROYDN7D,OPTIMAL,2.43,1505.07615,3.1E-11,166,137,135,824
BROYDNBDLS,OPTIMAL,0.5,1.65167E-22,9.9E-10,20,15,14,135
BRYBND,OPTIMAL,0.5,1.65167E-22,9.9E-10,20,15,14,135
CHAINWOO,OPTIMAL,125.65,639.887017,0.000000041,20682,16551,16549,84207
COATING,OPTIMAL,0.02,0.505498619,0.00000073,29,24,22,150
COATINGNE,OPTIMAL,0,0,0,1,1,1,1
COSINE,ITERATION_LIMIT,2176.58,-8690.58372,3.7,-100001,-99975,99973,303807
CRAGGLVY,OPTIMAL,0.09,1688.21531,8.2E-10,17,17,15,31
CURLY10,OPTIMAL,1.3,-1003162.9,5.1E-11,36,31,29,135
CURLY20,OPTIMAL,2.75,-1003162.9,1.2E-09,36,31,29,132
CURLY30,OPTIMAL,4.99,-1003162.9,0.00000062,37,32,30,138
CYCLOOCFLS,OPTIMAL,850.68,7.48998E-13,0.0000056,8928,7179,7178,39145
DIXMAANA,OPTIMAL,0.05,1,0,9,8,6,26
DIXMAANB,OPTIMAL,0.18,1,1.2E-10,22,17,15,124
DIXMAANC,OPTIMAL,0.13,1,9.1E-17,17,14,12,88
DIXMAAND,OPTIMAL,0.18,1,3.5E-09,21,17,15,127
DIXMAANE,OPTIMAL,0.11,1,1E-21,17,14,12,71
DIXMAANF,OPTIMAL,0.38,1,0.000000047,44,34,32,244
DIXMAANG,OPTIMAL,0.42,1,0.0000037,47,36,34,263
DIXMAANH,OPTIMAL,0.34,1,0.0000021,40,30,28,234
