PROBLEM_NAME,CAT_I_FACTORIZATION,CAT_II_FACTORIZATION,CAT_II_THETA_ZERO_FACTORIZATION,ARC_FACTORIZATION,TRU_FACTORIZATION
ARGLINA,23,1,1,10,2
ARGLINB,200001,200001,200001,200001,200001
ARGLINC,200001,200001,200001,200001,200001
ARGTRIGLS,36,31,31,135,118
ARWHEAD,6,6,6,26,10
BA-L16LS,4733,1913,2010,200001,200001
BA-L21LS,200001,200001,200001,200001,2121
BA-L49LS,200001,200001,200001,200001,200001
BA-L52LS,200001,200001,200001,200001,200001
BA-L73LS,200001,200001,200001,200001,200001
BDQRTIC,45,20,20,56,19
BOX,38,61,61,31,11
BOXPOWER,140,30,30,26,17
BROWNAL,44,22,22,25,92
BROYDN3DLS,38,5,5,30,8
BROYDN7D,2074,2243,2243,1643,824
BROYDNBDLS,290,214,214,111,135
BRYBND,290,214,214,111,135
CHAINWOO,59116,13955,13200,63442,84207
COATING,452,411,432,163,150
COATINGNE,1,1,1,1,1
COSINE,200001,421,421,200001,200001
CRAGGLVY,55,49,49,57,31
CURLY10,285,325,325,228,135
CURLY20,253,152,152,266,132
CURLY30,169,272,272,247,138
CYCLOOCFLS,200001,5603,5603,13736,39145
DIXMAANA,67,49,49,30,26
DIXMAANB,321,243,243,33,124
DIXMAANC,404,298,298,75,88
DIXMAAND,538,408,408,90,127
DIXMAANE,185,150,150,112,71
DIXMAANF,733,530,530,319,244
DIXMAANG,691,618,618,380,263
DIXMAANH,707,787,787,292,234
DIXMAANI,252,227,227,133,103
DIXMAANJ,1212,705,705,531,410
DIXMAANK,1070,866,866,583,437
DIXMAANL,946,1066,1066,537,459
DIXMAANM,235,196,196,45,53
DIXMAANN,1348,1082,1082,419,189
DIXMAANO,1240,1182,1182,419,230
DIXMAANP,1777,1315,1315,350,296
DIXON3DQ,44,24,24,72,5
DQDRTIC,49,1,1,18,2
DQRTIC,200001,230,230,237,125
EDENSCH,342,12,12,56,25
EG2,128,187,187,8,139
EIGENALS,200001,7442,7442,200001,4426
EIGENBLS,8190,7716,7990,5512,2704
EIGENCLS,200001,200001,200001,200001,6240
ENGVAL1,39,7,7,37,15
EXTROSNB,4292,5750,12324,6474,6367
FLETBV3M,1351,1456,1456,113282,50125
FLETCBV2,1,1,1,1,1
FLETCBV3,200001,200001,200001,200001,200001
FLETCHBV,200001,200001,200001,200001,200001
FLETCHCR,10896,18949,18949,12951,5037
FMINSRF2,1863,932,954,2210,530
FMINSURF,200001,1058,1058,200001,422
FREUROTH,90,21,21,15081,63
GENHUMPS,449659,469964,473549,200001,200001
GENROSE,8602,8765,8824,6785,3757
INDEF,200001,200001,200001,200001,200001
INDEFM,200001,153,153,188,3142
INTEQNELS,9,3,3,14,6
JIMACK,862,467,495,131,711
KSSLS,98,8,8,110,17
LIARWHD,48,12,12,59,21
LUKSAN11LS,3609,2155,2155,2476,1084
LUKSAN15LS,754,413,413,79,195
LUKSAN16LS,716,123,123,31,515
LUKSAN17LS,52,38,38,121,184
LUKSAN21LS,242,215,215,88,49
LUKSAN22LS,153,56,56,106,58
MANCINO,176,230,230,2619,152
MNISTS0LS,776,417,417,1792,966
MNISTS5LS,200001,1288,1288,866,859
MODBEALE,178,72,72,215,284
MOREBV,43,26,26,11,3
MSQRTALS,518,772,818,583,387
MSQRTBLS,554,720,720,689,696
NCB20,200001,2415,2415,4767,5936
NCB20B,740,518,518,112,242
NONCVXU2,48373,49511,51175,200001,200001
NONCVXUN,47051,59108,48730,200001,200001
NONDIA,200001,44,44,134,46
NONDQUAR,42,26,26,74,35
NONMSQRT,200001,200001,200001,200001,200001
OSCIGRAD,200001,33,33,135,95
OSCIPATH,200001,32,32,8,3
PENALTY1,394,108,108,171,96
PENALTY2,200001,10,10,50,21
PENALTY3,271,256,256,251,200001
POWELLSG,68,18,18,74,39
POWER,105,37,37,154,73
QING,139,153,153,64,73
QUARTC,200001,230,230,237,125
SBRYBND,200001,262,262,115,200001
SCHMVETT,33,14,14,29,5
SCOSINE,200001,200001,200001,200001,580
SCURLY10,200001,200001,200001,200001,1409
SCURLY20,200001,200001,200001,200001,1188
SCURLY30,200001,200001,200001,200001,200001
SENSORS,223,321,321,212,244
SINQUAD,251,132,132,101,82
SPARSINE,1330,524,524,688,1082
SPARSQUR,65,22,22,87,43
SPIN2LS,845,384,384,43,270
SPINLS,1065,479,1011,4281,4915
SPMSRTLS,586,355,355,824,410
SROSENBR,38,27,27,40,13
SSBRYBND,200001,197,197,115,135
SSCOSINE,200001,1757,1780,581,328
TESTQUAD,56,1,1,24,2
TOINTGSS,42,1,1,180,5
TQUARTIC,81,97,94,56,3
TRIDIA,50,13,13,42,3
VARDIM,89,29,29,154,57
VAREIGVL,45,171,171,179,29
WOODS,545,432,432,316,232
YATP1CLS,200001,200001,200001,200001,200001
YATP1LS,200001,200001,200001,200001,200001
YATP2CLS,200001,200001,200001,200001,200001
YATP2LS,200001,200001,200001,200001,200001
