PROBLEM_NAME,CAT_II_FACTORIZATION,CAT_II_THETA_ZERO_FACTORIZATION
ARGLINA,2,2
ARGLINB,200001,200001
ARGLINC,200001,200001
ARGTRIGLS,5,5
ARWHEAD,7,7
BA-L16LS,161,142
BA-L21LS,200001,200001
BA-L49LS,200001,200001
BA-L52LS,200001,200001
BA-L73LS,200001,200001
BDQRTIC,11,11
BOX,13,13
BOXPOWER,15,15
BROWNAL,6,6
BROYDN3DLS,6,6
BROYDN7D,99,99
BROYDNBDLS,24,24
BRYBND,24,24
CHAINWOO,936,936
COATING,44,44
COATINGNE,1,1
COSINE,5338,200001
CRAGGLVY,15,15
CURLY10,25,25
CURLY20,25,25
CURLY30,26,26
CYCLOOCFLS,92,92
DIXMAANA,8,8
DIXMAANB,21,21
DIXMAANC,37,37
DIXMAAND,36,36
DIXMAANE,15,15
DIXMAANF,38,38
DIXMAANG,48,48
DIXMAANH,51,51
DIXMAANI,24,24
DIXMAANJ,57,57
DIXMAANK,66,66
DIXMAANL,57,57
DIXMAANM,20,20
DIXMAANN,65,65
DIXMAANO,70,70
DIXMAANP,84,84
DIXON3DQ,4,4
DQDRTIC,2,2
DQRTIC,36,36
EDENSCH,13,13
EG2,4,4
EIGENALS,414,404
EIGENBLS,878,1031
EIGENCLS,1018,1063
ENGVAL1,8,8
EXTROSNB,808,1686
FLETBV3M,109,107
FLETCBV2,1,1
FLETCBV3,200001,200001
FLETCHBV,200001,200001
FLETCHCR,3479,3483
FMINSRF2,82,82
FMINSURF,86,86
FREUROTH,8,8
GENHUMPS,31934,31867
GENROSE,911,940
INDEF,200001,200001
INDEFM,12,12
INTEQNELS,4,4
JIMACK,36,35
KSSLS,9,9
LIARWHD,13,13
LUKSAN11LS,558,558
LUKSAN15LS,13,13
LUKSAN16LS,11,11
LUKSAN17LS,18,18
LUKSAN21LS,32,32
LUKSAN22LS,24,24
MANCINO,22,22
MNISTS0LS,48,48
MNISTS5LS,101,101
MODBEALE,7,7
MOREBV,3,3
MSQRTALS,60,61
MSQRTBLS,53,57
NCB20,146,146
NCB20B,29,29
NONCVXU2,4375,4360
NONCVXUN,5306,4984
NONDIA,6,6
NONDQUAR,19,19
NONMSQRT,200001,200001
OSCIGRAD,12,12
OSCIPATH,3,3
PENALTY1,53,53
PENALTY2,11,11
PENALTY3,33,33
POWELLSG,19,19
POWER,38,38
QING,19,19
QUARTC,36,36
SBRYBND,167,167
SCHMVETT,5,5
SCOSINE,200001,200001
SCURLY10,200001,200001
SCURLY20,200001,200001
SCURLY30,200001,200001
SENSORS,32,32
SINQUAD,21,21
SPARSINE,61,65
SPARSQUR,23,23
SPIN2LS,100,100
SPINLS,53,106
SPMSRTLS,34,34
SROSENBR,13,13
SSBRYBND,25,25
SSCOSINE,200001,200001
TESTQUAD,2,2
TOINTGSS,2,2
TQUARTIC,14,14
TRIDIA,3,3
VARDIM,30,30
VAREIGVL,21,21
WOODS,89,89
YATP1CLS,200001,200001
YATP1LS,200001,200001
YATP2CLS,200001,200001
YATP2LS,200001,200001
