PROBLEM_NAME,CAT_II_FACTORIZATION,CAT_II_THETA_ZERO_FACTORIZATION
ARGLINA,2,2
ARGLINB,200001,200001
ARGLINC,200001,200001
ARGTRIGLS,5,5
ARWHEAD,7,7
BA-L16LS,137,120
BA-L21LS,200001,200001
BA-L49LS,200001,200001
BA-L52LS,200001,200001
BA-L73LS,200001,200001
BDQRTIC,11,11
BOX,11,11
BOXPOWER,15,15
BROWNAL,6,6
BROYDN3DLS,6,6
BROYDN7D,49,49
BROYDNBDLS,14,14
BRYBND,14,14
CHAINWOO,431,428
COATING,25,25
COATINGNE,1,1
COSINE,4998,200001
CRAGGLVY,15,15
CURLY10,15,15
CURLY20,15,15
CURLY30,16,16
CYCLOOCFLS,44,44
DIXMAANA,6,6
DIXMAANB,12,12
DIXMAANC,18,18
DIXMAAND,19,19
DIXMAANE,9,9
DIXMAANF,19,19
DIXMAANG,23,23
DIXMAANH,25,25
DIXMAANI,14,14
DIXMAANJ,27,27
DIXMAANK,31,31
DIXMAANL,28,28
DIXMAANM,11,11
DIXMAANN,30,30
DIXMAANO,33,33
DIXMAANP,42,42
DIXON3DQ,4,4
DQDRTIC,2,2
DQRTIC,36,36
EDENSCH,13,13
EG2,4,4
EIGENALS,187,179
EIGENBLS,577,666
EIGENCLS,533,554
ENGVAL1,8,8
EXTROSNB,557,1202
FLETBV3M,104,98
FLETCBV2,1,1
FLETCBV3,200001,200001
FLETCHBV,200001,200001
FLETCHCR,1938,1939
FMINSRF2,47,47
FMINSURF,48,48
FREUROTH,8,8
GENHUMPS,30754,30635
GENROSE,421,432
INDEF,200001,200001
INDEFM,12,12
INTEQNELS,4,4
JIMACK,23,22
KSSLS,9,9
LIARWHD,13,13
LUKSAN11LS,391,391
LUKSAN15LS,7,7
LUKSAN16LS,9,9
LUKSAN17LS,18,18
LUKSAN21LS,17,17
LUKSAN22LS,18,18
MANCINO,13,13
MNISTS0LS,34,34
MNISTS5LS,61,61
MODBEALE,7,7
MOREBV,3,3
MSQRTALS,31,31
MSQRTBLS,28,29
NCB20,69,69
NCB20B,18,18
NONCVXU2,2023,2003
NONCVXUN,3077,2676
NONDIA,6,6
NONDQUAR,19,19
NONMSQRT,200001,200001
OSCIGRAD,11,11
OSCIPATH,3,3
PENALTY1,45,45
PENALTY2,11,11
PENALTY3,17,17
POWELLSG,19,19
POWER,38,38
QING,12,12
QUARTC,36,36
SBRYBND,79,79
SCHMVETT,5,5
SCOSINE,200001,200001
SCURLY10,200001,200001
SCURLY20,200001,200001
SCURLY30,200001,200001
SENSORS,30,30
SINQUAD,15,15
SPARSINE,46,49
SPARSQUR,23,23
SPIN2LS,63,63
SPINLS,42,73
SPMSRTLS,19,19
SROSENBR,11,11
SSBRYBND,17,17
SSCOSINE,200001,200001
TESTQUAD,2,2
TOINTGSS,2,2
TQUARTIC,12,12
TRIDIA,3,3
VARDIM,30,30
VAREIGVL,21,21
WOODS,52,52
YATP1CLS,200001,200001
YATP1LS,200001,200001
YATP2CLS,200001,200001
YATP2LS,200001,200001
