PROBLEM_NAME,CAT_I_FACTORIZATION,CAT_II_FACTORIZATION,CAT_II_THETA_ZERO_FACTORIZATION,ARC_FACTORIZATION,TRU_FACTORIZATION
AKIVA,6,6,6,6,6
ALLINITU,8,6,6,7,43
ARGLINA,3,2,2,3,1
ARGLINB,200001,200001,200001,200001,200001
ARGLINC,200001,200001,200001,200001,200001
ARGTRIGLS,12,10,10,10,10
ARWHEAD,6,6,6,6,6
BA-L16LS,492,138,79,200001,200001
BA-L1LS,17,9,9,5,14
BA-L1SPLS,14,6,6,6,17
BA-L21LS,200001,200001,200001,200001,200001
BA-L49LS,200001,200001,200001,200001,200001
BA-L52LS,200001,200001,200001,200001,200001
BA-L73LS,200001,200001,200001,200001,200001
BARD,10,8,8,7,7
BDQRTIC,11,10,10,9,9
BEALE,7,8,8,8,1185
BENNETT5LS,15,14,17291,530,503
BIGGS6,34,232,229,32,27
BOX,7,10,10,3,3
BOX3,7,7,7,7,7
BOXBODLS,200001,12,12,13,21
BOXPOWER,16,14,14,10,14
BRKMCC,2,2,2,3,2
BROWNAL,5,25,25,12,31
BROWNBS,25,9,8,200001,200001
BROWNDEN,10,8,8,8,8
BROYDN3DLS,7,6,6,5,5
BROYDN7D,105,90,90,227,92
BROYDNBDLS,13,15,15,11,1156
BRYBND,13,15,15,11,996
CERI651ALS,3176,388,354,1461,204
CERI651BLS,1066,96,155,635,95
CERI651CLS,706,116,199,598,85
CERI651DLS,27,32,266,76,99
CERI651ELS,310,60,43,47,68
CHAINWOO,2831,510,496,392,1239
CHNROSNB,64,47,47,42,45
CHNRSNBM,80,66,66,53,58
CHWIRUT1LS,8,7,7,10,11
CHWIRUT2LS,8,7,7,9,10
CLIFF,27,27,27,27,27
CLUSTERLS,12,14,14,11,45
COATING,25,4963,62540,24,27
COATINGNE,1,1,1,1,1
COOLHANSLS,76,45,34,27,200001
COSINE,200001,68,68,200001,32
CRAGGLVY,21,17,17,200001,200001
CUBE,36,30,30,24,30
CURLY10,16,12,12,15,15
CURLY20,15,14,14,17,15
CURLY30,14,14,14,14,16
CYCLOOCFLS,200001,161,161,158,58
DANIWOODLS,12,7,7,10,11
DANWOODLS,9,2,2,10,19
DENSCHNA,5,5,5,5,5
DENSCHNB,3,6,6,5,6
DENSCHNC,10,10,10,10,10
DENSCHND,29,27,27,30,32
DENSCHNE,9,9,9,15,10
DENSCHNF,6,6,6,7,6
DEVGLA1,200001,17,17,20,16
DEVGLA2,25,15,15,22,21
DEVGLA2NE,1,1,1,1,1
DIAMON2DLS,200001,200001,200001,200001,200001
DIAMON3DLS,200001,200001,200001,200001,200001
DIXMAANA,7,6,6,7,5
DIXMAANB,18,9,9,8,14
DIXMAANC,19,15,15,9,14
DIXMAAND,24,13,13,15,16
DIXMAANE,10,10,10,9,21
DIXMAANF,30,27,27,15,26
DIXMAANG,32,20,20,16,21
DIXMAANH,29,22,22,18,32
DIXMAANI,14,12,12,12,19
DIXMAANJ,47,23,23,20,29
DIXMAANK,46,24,24,21,29
DIXMAANL,38,26,26,22,34
DIXMAANM,13,12,12,7,1362
DIXMAANN,43,32,32,19,31
DIXMAANO,34,30,30,20,29
DIXMAANP,54,34,34,21,33
DIXON3DQ,4,2,2,9,2
DJTL,88,72,72,84,200001
DMN15102LS,200001,200001,200001,200001,200001
DMN15103LS,200001,200001,200001,200001,200001
DMN15332LS,200001,200001,200001,200001,200001
DMN15333LS,200001,17071,200001,4970,200001
DMN37142LS,200001,200001,200001,200001,200001
DMN37143LS,200001,200001,200001,200001,200001
DQDRTIC,4,2,2,2,1
DQRTIC,200001,36,36,65,35
ECKERLE4LS,18,4,4,6,21
EDENSCH,19,17,17,12,12
EG2,8,4,4,10,200001
EGGCRATE,5,5,5,4,5
EIGENALS,200001,161,161,200001,200001
EIGENBLS,481,200001,697,426,200001
EIGENCLS,200001,200001,200001,509,200001
ELATVIDU,11,11,11,11,11
ENGVAL1,9,8,8,7,7
ENGVAL2,14,15,15,15,16
ENSOLS,10,8,8,10,8
ERRINROS,56,28,28,40,46
ERRINRSM,188,84,65,43,74
EXP2,6,7,7,6,6
EXPFIT,6,7,7,7,88
EXTROSNB,429,547,797,2175,200001
FBRAIN3LS,1650,1007,3422,1300,200001
FLETBV3M,109,113,113,96,102
FLETCBV2,1,1,1,1,1
FLETCBV3,200001,200001,200001,200001,200001
FLETCHBV,200001,200001,200001,200001,200001
FLETCHCR,1793,1730,1730,1428,200001
FMINSRF2,102,50,50,200001,200001
FMINSURF,200001,67,67,200001,200001
FREUROTH,10,8,8,9,7
GAUSS1LS,6,9,9,5,5
GAUSS2LS,7,8,8,5,5
GAUSS3LS,10,12,11,8,6
GAUSSIAN,1,1,1,2,1
GBRAINLS,6,6,6,6,6
GENHUMPS,29918,28939,29113,200001,200001
GENROSE,470,412,412,334,355
GROWTHLS,121,98,76,104,74
GULF,36,1,1,21,21
HAHN1LS,467,154,200001,200001,200001
HAIRY,28,28,28,38,67
HATFLDD,18,21,21,18,18
HATFLDE,18,19,19,16,22
HATFLDFL,11,40,461,2,2394
HATFLDFLS,37,27,27,26,34
HATFLDGLS,11,12,12,11,24775
HEART6LS,5373,1490,1053,961,200001
HEART8LS,73,167,167,57,200001
HELIX,9,9,9,9,2563
HIELOW,8,6,6,200001,200001
HILBERTA,2,1,1,3,1
HILBERTB,3,1,1,2,1
HIMMELBB,10,9,10,8,12
HIMMELBCLS,7,6,6,6,5
HIMMELBF,57,40,39,57,47
HIMMELBG,5,6,6,4,4
HIMMELBH,4,5,5,5,48
HUMPS,387,116,119,147,964
HYDC20LS,1458,364,1482,799,684
HYDCAR6LS,790,282,150,155,156
INDEF,200001,200001,200001,200001,200001
INDEFM,200001,22,22,19,28
INTEQNELS,3,3,3,3,3
JENSMP,9,9,9,9,9
JIMACK,23,25,24,17,20
JUDGE,9,8,8,8,8
KIRBY2LS,19,16,10,200001,12
KOWOSB,9,8,8,9,8
KSSLS,13,9,9,10,8
LANCZOS1LS,33,110,89,47,47
LANCZOS2LS,36,101,77,96,47
LANCZOS3LS,40,25,24,49,47
LIARWHD,14,12,12,12,12
LOGHAIRY,802,189,189,378,2432
LSC1LS,28,13,9,23,17
LSC2LS,42,161,31,78,15
LUKSAN11LS,449,357,357,333,200001
LUKSAN12LS,33,29,29,23,32
LUKSAN13LS,19,19,19,16,200001
LUKSAN14LS,11,12,12,10,11
LUKSAN15LS,13,15,15,6,7
LUKSAN16LS,7,7,7,6,6
LUKSAN17LS,17,17,17,19,16
LUKSAN21LS,19,15,15,11,13
LUKSAN22LS,20,17,17,16,16
MANCINO,13,10,10,13,9
MARATOSB,987,754,800,680,667
METHANB8LS,19,9,7,15,14
METHANL8LS,103,56,39,38,53
MEXHAT,41,28,29,26,27
MEYER3,200001,200001,200001,200001,200001
MGH09LS,33,17,124,72,74
MGH10LS,200001,200001,15,200001,572
MGH10SLS,897,200001,200001,200001,4
MGH17LS,200001,10,10,9,29
MISRA1ALS,2350,95,25,34,38
MISRA1BLS,1387,67,18,200001,31
MISRA1CLS,1808,50,15,19,14
