PROBLEM_NAME,CAT_I_FACTORIZATION,CAT_II_FACTORIZATION,CAT_II_THETA_ZERO_FACTORIZATION,ARC_FACTORIZATION,TRU_FACTORIZATION
ARGLINA,200.0,200.0,200.0,200.0,200.0
ARGLINB,99.6,99.625468,99.625468,99.625468,99.625468
ARGLINC,101.125471,101.125471,101.125471,101.125471,101.125471
ARGTRIGLS,0.0,0.0,0.0,0.0,0.0
ARWHEAD,0.0,0.0,0.0,0.0,0.0
BA-L16LS,849000.0,848692.761867,848692.761867,941099.041,904089.534
BA-L21LS,Inf,7.263370999192e6,6.146346451595e6,395460.414,394992.51
BA-L49LS,600000.0,2.039395974904e6,2.096813577883e6,166898.668,29884.7959
BA-L52LS,2.08e7,2.1903889149513e7,2.0045567620903e7,1.29597064e8,1.16677829e8
BA-L73LS,1.4e8,8.576458679995e6,1.480713161087e6,1.04891895e6,1.35613908e6
BDQRTIC,20000.0,20006.256878,20006.256878,20006.2569,20006.2569
BOX,-1864.537927,-1864.537927,-1864.537927,-1864.53793,-1864.53793
BOXPOWER,0.0,0.0,0.0,0.0,0.0
BROWNAL,0.0,0.0,0.0,0.0,0.0
BROYDN3DLS,0.0,0.0,0.0,0.0,0.0
BROYDN7D,1504.61854,1554.80269,1554.80269,1511.95401,1505.07615
BROYDNBDLS,0.0,0.0,0.0,0.0,0.0
BRYBND,0.0,0.0,0.0,0.0,0.0
CHAINWOO,1.0,16.595943,1.0,1015.54216,639.887017
COATING,0.505499,0.505499,0.505499,0.505499,0.505499
COATINGNE,0.0,0.0,0.0,0.0,0.0
COSINE,-6157.50916,-9997.84604,-9997.84604,-4036.23312,-8690.58372
CRAGGLVY,1690.0,1688.21531,1688.21531,1688.21531,1688.21531
CURLY10,-1.0e6,-1.003162902413e6,-1.003162902413e6,-1.0031629e6,-1.0031629e6
CURLY20,-1.0e6,-1.003162902413e6,-1.003162902413e6,-1.0031629e6,-1.0031629e6
CURLY30,-1.0e6,-1.003162902413e6,-1.003162902413e6,-1.0031629e6,-1.0031629e6
CYCLOOCFLS,23100.0,0.0,0.0,0.0,0.0
DIXMAANA,1.0,1.0,1.0,1.0,1.0
DIXMAANB,1.0,1.0,1.0,1.0,1.0
DIXMAANC,1.0,1.0,1.0,1.0,1.0
DIXMAAND,1.0,1.0,1.0,1.0,1.0
DIXMAANE,1.0,1.0,1.0,1.0,1.0
DIXMAANF,1.0,1.0,1.0,1.0,1.0
DIXMAANG,1.0,1.0,1.0,1.0,1.0
DIXMAANH,1.0,1.0,1.0,1.0,1.0
DIXMAANI,1.0,1.0,1.0,1.0,1.0
DIXMAANJ,1.0,1.0,1.0,1.000001,1.0
DIXMAANK,1.0,1.0,1.0,1.0,1.0
DIXMAANL,1.0,1.0,1.0,1.0,1.0
DIXMAANM,1.0,1.0,1.0,1.0,1.0
DIXMAANN,1.0,1.0,1.0,1.0,1.0
DIXMAANO,1.0,1.000003,1.000003,1.0,1.0
DIXMAANP,1.0,1.0,1.0,1.0,1.0
DIXON3DQ,0.0,0.0,0.0,0.000445,0.000179
DQDRTIC,0.0,0.0,0.0,0.0,0.0
