PROBLEM_NAME,CAT_FACTORIZATION,CAT_THETA_ZERO_FACTORIZATION,ARC_G_RULE,NEWTON_TRUST_REGION
ALLINITU,11,11,16,11
ARGLINA,4,4,8,6
BARD,11,11,8,14
BEALE,10,10,10,8
BIGGS6,57,80,66,10001
BOX3,8,8,9,8
BRKMCC,3,3,4,3
BROWNAL,6,6,5,7
BROWNBS,30,43,28,10001
BROWNDEN,11,11,9,12
CHNROSNB,92,83,68,67
CLIFF,28,28,28,28
CUBE,52,52,56,29
DENSCHNA,6,6,6,6
DENSCHNB,4,4,6,10001
DENSCHNC,11,11,11,11
DENSCHND,39,39,50,36
DENSCHNE,12,12,24,14
DENSCHNF,7,7,7,7
DJTL,166,166,1655,96
ENGVAL2,16,16,27,18
ERRINROS,70,82,66,49
EXPFIT,7,7,14,9
GENROSEB,844,847,647,414
GROWTHLS,134,10001,115,85
GULF,50,45,45,32
HAIRY,42,42,75,91
HATFLDD,22,22,26,22
HATFLDE,23,23,22,20
HEART6LS,5766,1952,407,820
HEART8LS,130,102,94,126
HELIX,15,15,21,10
HIMMELBB,14,27,21,23
HUMPS,476,458,1552,4498
HYDC20LS,1464,1550,10001,931
JENSMP,10,10,10,10
KOWOSB,13,13,10,9
LOGHAIRY,1087,1035,2737,5957
MANCINO,16,16,27,18
MEXHAT,58,55,98,33
MEYER3,10001,10001,361,306
OSBORNEA,10001,10001,468,36
OSBORNEB,47,51,21,19
PALMER5C,5,5,8,7
PALMER6C,5,5,124,11
PALMER7C,6,6,55,18
PALMER8C,6,6,303,12
PARKCH,27,31,1,21
PENALTY2,10001,10001,4,18
PENALTY3,29,32,1,21
PFIT1LS,651,664,870,338
PFIT2LS,262,222,246,191
PFIT3LS,260,236,574,156
PFIT4LS,509,472,1319,287
ROSENBR,41,41,5,26
S308,20,20,1,9
SENSORS,26,26,34,27
SINEVAL,91,102,94,53
SISSER,13,13,13,13
SNAIL,137,141,7,76
STREG,35,40,104,10001
TOINTGOR,8,8,9,9
TOINTPSP,29,29,30,25
VARDIM,30,30,3,30
VIBRBEAM,80,45,261,59
WATSON,13,20,10,13
YFITU,113,76,59,49
