PROBLEM_NAME,CAT_FACTORIZATION,CAT_THETA_ZERO_FACTORIZATION,ARC_G_RULE,NEWTON_TRUST_REGION
ALLINITU,10,10,16,10
ARGLINA,3,3,8,5
BARD,10,10,8,13
BEALE,9,9,10,7
BIGGS6,56,79,66,10001
BOX3,7,7,9,7
BRKMCC,2,2,4,2
BROWNAL,5,5,5,6
BROWNBS,29,42,28,10001
BROWNDEN,10,10,9,11
CHNROSNB,91,82,68,66
CLIFF,27,27,28,27
CUBE,51,51,56,28
DENSCHNA,5,5,6,5
DENSCHNB,3,3,6,10001
DENSCHNC,10,10,11,10
DENSCHND,38,38,50,35
DENSCHNE,11,11,24,13
DENSCHNF,6,6,7,6
DJTL,165,165,1655,95
ENGVAL2,15,15,27,17
ERRINROS,69,81,66,48
EXPFIT,6,6,14,8
GENROSEB,843,846,647,413
GROWTHLS,133,10001,115,84
GULF,49,44,45,31
HAIRY,41,41,75,90
HATFLDD,21,21,26,21
HATFLDE,22,22,22,19
HEART6LS,5765,1951,407,819
HEART8LS,129,101,94,125
HELIX,14,14,21,9
HIMMELBB,13,26,21,22
HUMPS,475,457,1552,4497
HYDC20LS,1463,1549,10001,930
JENSMP,9,9,10,9
KOWOSB,12,12,10,8
LOGHAIRY,1086,1034,2737,5956
MANCINO,15,15,27,17
MEXHAT,57,54,98,32
MEYER3,10001,10001,361,305
OSBORNEA,10001,10001,468,35
OSBORNEB,46,50,21,18
PALMER5C,4,4,8,6
PALMER6C,4,4,124,10
PALMER7C,5,5,55,17
PALMER8C,5,5,303,11
PARKCH,26,30,1,20
PENALTY2,10001,10001,4,17
PENALTY3,28,31,1,20
PFIT1LS,650,663,870,337
PFIT2LS,261,221,246,190
PFIT3LS,259,235,574,155
PFIT4LS,508,471,1319,286
ROSENBR,40,40,5,25
S308,19,19,1,8
SENSORS,25,25,34,26
SINEVAL,90,101,94,52
SISSER,12,12,13,12
SNAIL,136,140,7,75
STREG,34,39,104,10001
TOINTGOR,7,7,9,8
TOINTPSP,28,28,30,24
VARDIM,29,29,3,29
VIBRBEAM,79,44,261,58
WATSON,12,19,10,12
YFITU,112,75,59,58
