problem_name,status,status_code,total_execution_time,total_iterations_count,function_value,gradient_value,total_function_evaluation,total_gradient_evaluation,total_hessian_evaluation,total_factorization_evaluation
AKIVA,OPTIMAL,0,0.00E+00,6,6.17,0.00,7,7,6,14
ALLINITU,OPTIMAL,0,0.00E+00,10,5.74,0.00,11,8,7,38
ARGLINA,OPTIMAL,0,1.00E+00,3,200.00,0.00,4,4,3,3
ARGTRIGLS,OPTIMAL,0,1.00E+00,11,0.00,0.00,12,11,10,43
BA-L1LS,OPTIMAL,0,0.00E+00,7,0.00,0.00,8,6,5,55
BARD,OPTIMAL,0,0.00E+00,10,0.01,0.00,11,8,7,61
BEALE,OPTIMAL,0,0.00E+00,9,0.00,0.00,10,9,8,29
BENNETT5LS,OPTIMAL,0,0.00E+00,607,0.00,0.00,608,531,530,1564
BIGGS6,OPTIMAL,0,0.00E+00,42,0.00,0.00,43,33,32,212
BOX3,OPTIMAL,0,0,7,0.00,0.00,8,8,7,19
BOXBODLS,OPTIMAL,0,0.00E+00,18,1168.01,0.00,19,14,13,60
BRKMCC,OPTIMAL,0,0.00E+00,3,0.17,0.00,4,4,3,8
BROWNAL,OPTIMAL,0,2.00E+00,17,0.00,0.00,18,13,12,143
BROWNBS,FAILURE,-16,1.80E+04,12,0.00,0.00,200001,200001,200001,200001
BROWNDEN,OPTIMAL,0,0,8,85822.20,0.00,9,9,8,17
CERI651ALS,OPTIMAL,0,1.00E+00,1600,334.81,0.00,1601,1462,1461,12021
CERI651BLS,OPTIMAL,0,0.00E+00,665,95.90,0.00,666,636,635,2718
CERI651CLS,OPTIMAL,0,0.00E+00,635,56.58,0.00,636,599,598,2628
CERI651DLS,OPTIMAL,0,1.00E+00,109,14.02,0.00,110,77,76,364
CERI651ELS,OPTIMAL,0,0.00E+00,121,23.68,0.00,122,48,47,2103
CHNROSNB,OPTIMAL,0,0.00E+00,60,0.00,0.00,61,43,42,226
CHNRSNBM,OPTIMAL,0,0.00E+00,73,0.00,0.00,74,54,53,269
CLIFF,OPTIMAL,0,0.00E+00,33,0.20,0.00,34,28,27,531
CLUSTERLS,OPTIMAL,0,0.00E+00,12,0.00,0.00,13,12,11,31
COATING,OPTIMAL,0,0.00E+00,32,0.51,0.00,33,25,24,188
COOLHANSLS,OPTIMAL,0,0,38,0.00,0.00,39,28,27,317
CUBE,OPTIMAL,0,0.00E+00,37,0.00,0.00,38,25,24,134
DANIWOODLS,OPTIMAL,0,0.00E+00,11,0.00,0.00,12,11,10,40
DANWOODLS,OPTIMAL,0,0.00E+00,13,0.00,0.00,14,11,10,53
DENSCHNA,OPTIMAL,0,0.00E+00,5,0.00,0.00,6,6,5,10
DENSCHNB,OPTIMAL,0,0.00E+00,6,0.00,0.00,7,6,5,17
DENSCHNC,OPTIMAL,0,0,10,0.00,0.00,11,11,10,20
DENSCHND,OPTIMAL,0,0.00E+00,38,0.00,0.00,39,31,30,187
DENSCHNE,OPTIMAL,0,0.00E+00,24,0.00,0.00,25,16,15,119
