problem_name,status,total_execution_time,total_iterations_count,function_value,graient_value,total_function_evaluation,total_gradient_evaluation,total_hessian_evaluation,total_factorization_evaluation
AKIVA,SUCCESS,8.406062841,6,6.166042212,1.39E-09,7,7,6,6
ALLINITU,SUCCESS,0.02978301,10,5.74438491,2.28E-06,11,11,8,47
ARGLINA,SUCCESS,2.108822107,3,200,1.06E-12,4,4,3,23
ARGTRIGLS,SUCCESS,3.741545916,12,5.65E-26,5.48E-11,13,13,12,36
BA-L1LS,SUCCESS,0.10966301,30,1.96E-19,3.95E-06,31,31,17,490
BARD,SUCCESS,0.00188899,10,0.008214877,2.16E-09,11,11,10,19
BEALE,SUCCESS,0.00520587,9,3.73E-12,1.51E-06,10,10,7,50
BENNETT5LS,SUCCESS,0.023643017,19,0.000536188,1.30E-06,20,20,15,260
BIGGS6,SUCCESS,0.205973864,56,5.64E-07,8.52E-06,57,57,34,871
BOX3,SUCCESS,0.002115965,7,1.38E-11,2.28E-06,8,8,7,17
BOXBODLS,ITERARION_LIMIT,665.2487309,100001,9763.353112,8.150201193,200001,200001,200001,200001
BRKMCC,SUCCESS,0.000200987,2,0.169042679,6.11E-06,3,3,2,2
BROWNAL,SUCCESS,1.996758938,5,5.51E-19,4.92E-09,6,6,5,44
BROWNBS,SUCCESS,0.013895035,29,5.70E-13,3.54E-06,30,30,25,292
BROWNDEN,SUCCESS,0.002940893,10,85822.20135,2.21E-11,11,11,10,48
CERI651ALS,SUCCESS,2.82130003,3178,334.8140995,9.92E-06,3179,3179,3176,30418
CERI651BLS,SUCCESS,0.765851974,1066,95.8953206,9.52E-06,1067,1067,1066,9694
CERI651CLS,SUCCESS,0.719624996,706,56.5797067,9.91E-06,707,707,706,6456
CERI651DLS,SUCCESS,0.031170845,27,14.01753244,2.98E-06,28,28,27,285
CERI651ELS,SUCCESS,0.388265848,310,23.68371703,9.63E-06,311,311,310,2821
CHNROSNB,SUCCESS,0.227463007,91,3.51E-22,1.53E-10,92,92,64,706
CHNRSNBM,SUCCESS,0.15341711,116,4.48E-18,8.55E-08,117,117,80,912
CLIFF,SUCCESS,0.001561165,27,0.199786614,1.61E-10,28,28,27,44
CLUSTERLS,SUCCESS,0.009194851,13,8.69E-10,5.12E-06,14,14,12,165
COATING,SUCCESS,0.255925894,39,0.505498619,4.41E-11,40,40,25,452
COOLHANSLS,SUCCESS,0.049422979,85,5.70E-09,5.88E-06,86,86,76,908
CUBE,SUCCESS,0.009817839,51,3.01E-20,2.21E-10,52,52,36,374
DANIWOODLS,SUCCESS,0.003902912,14,0.004317308,2.95E-07,15,15,12,78
DANWOODLS,SUCCESS,0.003345966,11,0.004317308,5.16E-10,12,12,9,75
DENSCHNA,SUCCESS,0.000334024,5,2.21E-12,2.97E-06,6,6,5,5
DENSCHNB,SUCCESS,0.000657082,3,1.23E-32,2.22E-16,4,4,3,9
DENSCHNC,SUCCESS,0.000512123,10,2.18E-20,7.90E-10,11,11,10,10
DENSCHND,SUCCESS,0.012653828,38,9.61E-09,6.73E-06,39,39,29,259
DENSCHNE,SUCCESS,0.002984047,11,8.29E-18,5.76E-09,12,12,9,93
DENSCHNF,SUCCESS,0.000371933,6,6.51E-22,6.29E-10,7,7,6,6
DEVGLA1,ITERARION_LIMIT,1174.483654,100001,33003.81544,32964.93645,200001,200001,200001,200001
DEVGLA2,SUCCESS,0.050925016,36,9.67E-15,2.78E-07,37,37,25,317
DJTL,SUCCESS,0.19541502,165,-8951.544724,1.24E-08,166,166,88,1716
EG2,SUCCESS,7.27750802,8,-998.9473933,3.38E-12,9,9,8,128
EGGCRATE,SUCCESS,0.003779173,5,9.488197339,3.97E-09,6,6,5,18
ELATVIDU,SUCCESS,0.002368927,11,54.75111864,7.94E-10,12,12,11,25
ENGVAL2,SUCCESS,0.008347034,15,5.44E-21,5.07E-09,16,16,14,55
ENSOLS,SUCCESS,0.072463989,13,788.5397867,8.50E-12,14,14,10,117
ERRINROS,SUCCESS,0.294573069,69,39.90415392,6.90E-08,70,70,56,570
EXPFIT,SUCCESS,0.004778862,6,0.240510594,2.90E-08,7,7,6,20
EXTROSNB,SUCCESS,54.06024003,488,9.93E-07,9.80E-06,489,489,429,4292
FBRAIN3LS,SUCCESS,62.62349701,1737,0.243927673,8.78E-06,1738,1738,1650,16118
GAUSS2LS,SUCCESS,0.021777868,7,1247.528209,4.15E-09,8,8,7,40
GAUSS3LS,SUCCESS,0.0338521,11,1244.484636,1.45E-08,12,12,10,78
GAUSSIAN,SUCCESS,0.000396013,1,1.13E-08,1.95E-06,2,2,1,1
GBRAINLS,SUCCESS,0.059113026,6,28.51585819,2.61E-11,7,7,6,6
GENROSE,SUCCESS,22.33480191,843,1,1.61E-10,844,844,470,8602
GROWTHLS,SUCCESS,0.174415112,133,1.004040584,1.98E-11,134,134,121,1382
HATFLDD,SUCCESS,0.027194977,21,6.62E-08,6.56E-06,22,22,18,103
HATFLDFL,SUCCESS,0.015487909,17,6.48E-05,8.28E-06,18,18,11,197
HATFLDFLS,SUCCESS,0.052944899,48,5.19E-08,8.04E-06,49,49,37,436
HATFLDGLS,SUCCESS,0.013345003,14,3.32E-15,6.21E-08,15,15,11,81
HEART6LS,SUCCESS,8.972784996,5765,7.34E-09,9.33E-06,5766,5766,5373,54935
HEART8LS,SUCCESS,0.275427103,129,6.22E-19,3.94E-08,130,130,73,1387
HELIX,SUCCESS,0.026203871,14,3.96E-17,2.21E-08,15,15,9,137
HIELOW,SUCCESS,0.172499895,11,874.1654321,2.05E-06,12,12,8,87
HILBERTA,SUCCESS,0.001117945,2,4.27E-31,2.67E-16,3,3,2,9
