problem_name,status,total_execution_time,total_iterations_count,function_value,gradient_value,total_function_evaluation,total_gradient_evaluation,total_hessian_evaluation,total_factorization_evaluation
AKIVA,OPTIMAL,0,6,6.166042212,1.38903E-09,7,7,6,6
ALLINITU,OPTIMAL,0,8,5.74438491,1.98995E-08,9,7,6,57
ARGLINA,OPTIMAL,1.000000234,2,200,1.70689E-13,3,3,2,8
ARGTRIGLS,OPTIMAL,1.000000234,12,2.48021E-19,4.65249E-08,11,11,10,78
BA-L1LS,OPTIMAL,0,29,1.98111E-25,1.57361E-09,19,11,9,395
BARD,OPTIMAL,0,12,0.008214877,2.60514E-08,13,10,8,68
BEALE,OPTIMAL,0,10,3.61714E-17,2.38992E-08,11,9,8,44
BENNETT5LS,OPTIMAL,0,20,0.000536901,9.57993E-07,19,15,14,219
BIGGS6,OPTIMAL,0,435,0.242697212,7.90616E-06,336,238,232,6044
BOX3,OPTIMAL,0,7,4.28989E-11,3.98222E-06,8,8,7,21
BOXBODLS,OPTIMAL,0,19,1168.008877,8.73689E-11,20,13,12,171
BRKMCC,OPTIMAL,0,2,0.169042679,6.10531E-06,3,3,2,2
BROWNAL,OPTIMAL,6.000000145,54,2.95808E-17,3.50639E-08,26,26,25,789
BROWNBS,OPTIMAL,0,11,6.38175E-16,7.60518E-08,12,10,9,85
BROWNDEN,OPTIMAL,0,8,85822.20135,2.92613E-10,9,9,8,8
CERI651ALS,OPTIMAL,0,403,334.8140928,4.18772E-06,400,393,388,3944
CERI651BLS,OPTIMAL,0,102,95.89532259,8.34416E-06,103,101,96,989
CERI651CLS,OPTIMAL,0,122,56.57970132,7.25474E-06,123,122,116,1200
CERI651DLS,OPTIMAL,0,37,14.01753054,8.80425E-06,37,36,32,379
CERI651ELS,OPTIMAL,0,64,23.68371607,8.96509E-06,65,61,60,655
CHNROSNB,OPTIMAL,0,76,8.69357E-14,2.70056E-06,77,48,47,365
CHNRSNBM,OPTIMAL,0,119,3.41636E-18,7.48254E-08,120,69,66,720
CLIFF,OPTIMAL,0,27,0.199786614,1.60816E-10,28,28,27,45
CLUSTERLS,OPTIMAL,0,22,8.50266E-10,4.60085E-06,18,15,14,237
COATING,OPTIMAL,9.999999823,5502,3.112803867,9.84215E-06,5501,4979,4963,52555
COOLHANSLS,OPTIMAL,0,67,3.58833E-05,5.49653E-06,57,49,45,763
CUBE,OPTIMAL,0,49,7.14179E-15,8.10141E-07,50,32,30,207
DANIWOODLS,OPTIMAL,0,9,0.004317308,6.37294E-07,10,8,7,64
DANWOODLS,OPTIMAL,0,2,103.917818,1.73573E-06,3,3,2,36
DENSCHNA,OPTIMAL,0,5,2.21391E-12,2.96765E-06,6,6,5,5
DENSCHNB,OPTIMAL,0,10,5.40761E-21,2.03574E-10,11,7,6,52
DENSCHNC,OPTIMAL,0,10,2.17768E-20,7.89883E-10,11,11,10,10
DENSCHND,OPTIMAL,0,40,6.40789E-08,6.12238E-06,41,29,27,287
DENSCHNE,OPTIMAL,0,12,3.53452E-15,1.18904E-07,11,10,9,81
DENSCHNF,OPTIMAL,0,6,6.51325E-22,6.28879E-10,7,7,6,6
DEVGLA1,OPTIMAL,0,27,2.12669E-13,1.48667E-07,28,20,17,200
DEVGLA2,OPTIMAL,0,21,9.70645E-15,2.40499E-06,22,19,15,108
