problem_name,status,status_code,total_execution_time,total_iterations_count,function_value,gradient_value,total_function_evaluation,total_gradient_evaluation,total_hessian_evaluation,total_factorization_evaluation
LUKSAN13LS,ITERATION_LIMIT,-18,18000,100001,25188.86,0.00,200001,200001,200001,200001
JUDGE,OPTIMAL,0,0,8,16.08,0.00,9,9,8,9
FBRAIN3LS,FAILURE,-16,18000,38606,0.24,0.00,200001,200001,200001,200001
SPIN2LS,OPTIMAL,0,1.000000234,13,0.00,0.00,14,8,7,686
BROWNDEN,OPTIMAL,0,0,8,85822.20,0.00,9,9,8,9
HILBERTA,OPTIMAL,0,0,1,0.00,0.00,2,2,1,2
PALMER5D,OPTIMAL,0,0,1,87.34,0.00,2,2,1,2
BOXBODLS,OPTIMAL,0,0,41,9771.50,0.00,42,22,21,128
HIMMELBB,OPTIMAL,0,0,17,0.00,0.00,18,13,12,56
ENGVAL2,OPTIMAL,0,0,19,0.00,0.00,20,17,16,41
MUONSINELS,OPTIMAL,0,0,16,51143.97,0.00,17,10,9,16
ENSOLS,OPTIMAL,0,0,10,788.54,0.00,11,9,8,25
PRICE4,OPTIMAL,0,0,17,0.00,0.00,18,12,11,47
CERI651ELS,OPTIMAL,0,0,82,23.68,0.00,83,69,68,1232
SISSER,OPTIMAL,0,0,12,0.00,0.00,13,13,12,12
TRIGON1,OPTIMAL,0,0,8,0.00,0.00,9,7,6,28
PENALTY1,OPTIMAL,0,15.00000036,42,0.01,0.00,43,41,40,49
GROWTHLS,OPTIMAL,0,0,99,1.00,0.00,100,75,74,265
SINEVAL,OPTIMAL,0,0,50,0.00,0.00,51,44,43,118
GAUSS2LS,OPTIMAL,0,0,5,1247.53,0.00,6,6,5,6
STRATEC,KILLED,-100,18000,100001,NaN,NaN,200001,200001,200001,200001
NELSONLS,OPTIMAL,0,0.999999605,204,3.80,0.00,205,162,161,707
HYDCAR6LS,OPTIMAL,0,0,192,0.00,0.00,193,157,156,838
WAYSEA1,OPTIMAL,0,0,14,0.00,0.00,15,15,14,14
GAUSS3LS,OPTIMAL,0,0,10,1244.48,0.00,11,7,6,37
YFITU,OPTIMAL,0,0,49,0.00,0.00,50,43,42,93
CHNRSNBM,OPTIMAL,0,0,75,0.00,0.00,76,59,58,215
HIMMELBCLS,OPTIMAL,0,0,7,0.00,0.00,8,6,5,18
MARATOSB,OPTIMAL,0,1.000000234,730,-1.00,0.00,731,668,667,1861
LSC2LS,OPTIMAL,0,0,19,4.04,0.00,20,16,15,65
POWELLBSLS,OPTIMAL,0,0,115,0.00,0.00,116,93,92,195
HIMMELBG,OPTIMAL,0,0,4,0.00,0.00,5,5,4,7
DENSCHNF,OPTIMAL,0,0,6,0.00,0.00,7,7,6,6
COOLHANSLS,ITERATION_LIMIT,-18,18000,100001,0.05,0.09,200001,200001,200001,200001
PRICE3,OPTIMAL,0,0,14,0.00,0.00,15,11,10,28
VESUVIOULS,OPTIMAL,0,0,32,0.48,0.00,33,19,18,111
KOWOSB,OPTIMAL,0,0,9,0.00,0.00,10,9,8,29
LUKSAN12LS,OPTIMAL,0,0,41,4292.20,0.00,42,33,32,151
HIMMELBH,OPTIMAL,0,0,65,-1.00,0.00,66,49,48,247
ZANGWIL2,OPTIMAL,0,0,1,-18.20,0.00,2,2,1,1
HEART8LS,ITERATION_LIMIT,-18,18000,100001,1.17,0.03,200001,200001,200001,200001
VANDANMSLS,OPTIMAL,0,0,3,7.78,0.00,4,3,2,108
HATFLDD,OPTIMAL,0,0,20,0.00,0.00,21,19,18,43
MISRA1DLS,OPTIMAL,0,0,30,0.06,0.00,31,24,23,52
BRKMCC,OPTIMAL,0,0,2,0.17,0.00,3,3,2,3
DENSCHNA,OPTIMAL,0,0,5,0.00,0.00,6,6,5,5
METHANL8LS,OPTIMAL,0,0,69,0.00,0.00,70,54,53,365
MISRA1BLS,OPTIMAL,0,0,40,0.08,0.00,41,32,31,77
DENSCHNC,OPTIMAL,0,0,10,0.00,0.00,11,11,10,10
S308,OPTIMAL,0,0,9,0.77,0.00,10,9,8,13
SNAIL,OPTIMAL,0,0,68,0.00,0.00,69,64,63,146
