iter,fct,gradient
130,131,131
134,135,135
10001,10001,10001
131,132,132
164,165,165
10001,10001,10001
140,141,141
281,282,282
140,141,141
224,225,225
357,358,358
265,266,266
253,254,254
130,131,131
10001,10001,10001
600,601,601
279,280,280
10001,10001,10001
121,122,122
118,119,119
160,161,161
137,138,138
346,347,347
157,158,158
177,178,178
136,137,137
197,198,198
190,191,191
320,321,321
241,242,242
158,159,159
10001,10001,10001
157,158,158
162,163,163
190,191,191
200,201,201
207,208,208
189,190,190
153,154,154
167,168,168
203,204,204
321,322,322
10001,10001,10001
202,203,203
143,144,144
187,188,188
304,305,305
187,188,188
10001,10001,10001
758,759,759
139,140,140
196,197,197
179,180,180
362,363,363
158,159,159
151,152,152
238,239,239
162,163,163
173,174,174
114,115,115
