iter,fct,gradient
10000,10000,10000
10000,10000,10000
1471,1472,1472
119,120,120
150,151,151
10000,10000,10000
124,125,125
237,238,238
127,128,128
212,213,213
10000,10000,10000
255,256,256
10000,10000,10000
118,119,119
10000,10000,10000
284,285,285
198,199,199
10000,10000,10000
10000,10000,10000
105,106,106
10000,10000,10000
120,121,121
210,211,211
135,136,136
135,136,136
111,112,112
172,173,173
142,143,143
232,233,233
169,170,170
116,117,117
10000,10000,10000
129,130,130
122,123,123
139,140,140
154,155,155
10000,10000,10000
135,136,136
127,128,128
160,161,161
191,192,192
250,251,251
10000,10000,10000
174,175,175
144,145,145
139,140,140
236,237,237
169,170,170
194,195,195
500,501,501
10000,10000,10000
173,174,174
156,157,157
320,321,321
10000,10000,10000
169,170,170
190,191,191
145,146,146
151,152,152
10000,10000,10000
